--怪物战斗中的说话,用于一些战斗的说话的配置
"[热血赛马]马场统领一声惨叫跌落在地,他的龙兽坐骑护主心切,竟瞬间进化了!\\击败后有几率获得幸运坐骑！",--158
"[土城抗魔]煞翼队长的屡次失败让暗之煞翼队长恼怒不已,决定亲自上阵了!\\击败后有几率获得6级以上勋章！",--159
"[天地宝窟]谣传一名神秘玩家在宝窟中发现了巨额宝藏!\\可获得大量礼券或元宝！",--160
"[勇士角斗场]角斗场中有个神秘人采集到了魔王花,伤害提高多倍！\\一时间神鬼共泣!",--161
"[太虚灵泉]灵泉中出现了百年一现的东海珍珠,真是幸运啊!\\采集后可获得大量经验和灵珠!",--162
"不要逃太远，靠近了跟我玩玩嘛！",--163
"玩家%s被寄生了！踩火烧死寄生虫来防止Boss回血！",--164
"玩家%s中了炸弹！踩冰浇灭炸弹，不然会炸死所有人！",--165
"你们别想击败我，除非把所有守卫变成火属性",	--166
"你们别想击败我，除非把所有守卫变成金属性",	--167
"你们别想击败我，除非把所有守卫变成木属性",	--168
"你们别想击败我，除非把所有守卫变成土属性",	--169
"你们别想击败我，除非把所有守卫变成水属性",	--170
"我的奴隶出来把他们都杀了吧哈哈！",	--171
"只要我身上没有致死效果，我是死不了的！施放恢复术",	--172
"终于解脱了..我给你们的祝福可以抵挡沙恩巴顿的伤害",	--173
"守护女神只剩50%的血量，请注意保护",	--174
"守护女神只剩30%的血量，请注意保护",	--175
"请在10秒内跑到伴侣身边，否则Boss将会狂暴",	--176
"尝尝萝卜的味道吧",	--177
"萝卜神力，天下无敌",	--178
"装备2级以上的护盾可使技能生效",	--179
"敖皇已在玩家身体内种下蛊毒！请迅速远离中毒玩家",  --180
"魂淡！别靠近我们的王，他需要休息！",  --181
"现在的敖皇你无法伤害它，只有敖皇亲卫身上有解决的办法！",  --182
"别过来！别过来！我说了你别过来！",  --183
"成功地伤害到了敖皇并且打扰到它休息了",  --184
"正在准备阶段，双方禁止攻击！",  --185
"比赛开始！",  --186
"好美味的精血！谢谢咯，亲!",  --187
"小的们，炸他炸他！",  --188
"要死了！别打，等我缓会再来收拾你！",  --189
"复活吧！我需要你的力量",  --190
"毒祭！恢复吧！",  --191
"恭喜发财！祈福财神非常开心，在土城(%d,%d)撒下奖励！",  --192
"财神对本次巡游感到十分满意，离开之际撒下了大量奖励！",  --193
"哈哈哈！本次巡游真让我高兴，这些奖励就给你们了！",  --194
"进攻，破坏，颤抖吧！",  --195
"毁灭！毁灭一切！",  --196
"你们惹怒我了，受死吧！",  --197
"感受冰冷的侵蚀吧！",  --198
"看我分身的力量！",  --199
"赐我力量！",  --200
"近我身者必遭重创！哈哈哈！",  --201
"幽煞之力，把祭品转成我的力量吧！",  --202
"滚开！我要浴火重生！",  --203
"神之幻影，无敌之躯！",  --204
"九天神雷，屠獠一切！",  --205
"过来吧！我们同归于尽！",  --206
"以彼之力，还之彼身！哈哈哈！",  --207
"折服吧！只有隐龙精血才能解除禁止使用职业技能的BUFF！",  --208
"神龙现世！尔等渣滓速速授首！",  --209
"以吾之血，献于吾皇！",  --210
"归元大法！",  --211
"嫦娥在土城(%d,%d)受到天狗的骚扰！快去救援。",  --212
"救命，这些疯狗要咬我了！",  --213
"终于能去月球了！谢谢大家！",  --214
"嫦娥终于顺利奔月！月神在土城(%d,%d)撒下丰厚奖励！",  --215
"黄泉之息！",  --216
"寂灭之体",  --217
"你大力铲下去，却发现什么都没有",  --218
"你大力铲下去，发现这是个怪物巢穴",  --219
"你大力铲下去，一股煞气冲天而起",  --220
"你大力铲下去，突然一股黑风把你卷走",  --221
"你大力铲下去，发现了一个大宝藏",  --222
"掘地三尺！远古宝藏终于在南疆谷地(%d,%d)出现了",  --223
"你大力铲下去，吵醒了沉睡的魔王",  --224
"沉睡的魔王被吵醒了，正在南疆谷地(%d,%d)大肆破坏",  --225
"光棍之手力量大！",  --226
"注意了！光棍祭出了他强壮的右手！",  --227
"同为吾族者，受吾庇护！非吾族者，受此试炼！",  --228
"不死神鸟，涅槃重生！",  --229
"给你们10秒去采集我的护体真气，采不到就等遭殃吧！",  --230
"注意！别被我的小石魔石化了，会死人的！",  --231
"看我神佛之躯！",  --232
"注意！盛世神君开始乱抛杂物了！",  --233
"朋友，你听说过九尾吗？传说他们有九条命的！",  --234
"哈哈哈！尝尝人肉炸弹的滋味吧！",  --235
"快杀死这些幼蛇，别让它变成妖魅！",  --236
"看我的蛇毒！",  --237
"恶鬼附身！注意远离恶鬼啦！",  --238
"尸国之门已被打开，鬼兵将源源不断！快攻击尸国之门！",  --239
"出来吧，炼狱深渊的恶鬼们！",  --240
"注意！踩踏来自炼狱的炎火可避开鬼王的攻击！",  --241
"你因踩踏炼狱的炎火，避开的鬼王的攻击！",  --242
"愚蠢！魔法攻击休想伤我！",    --243
"愚蠢！物理攻击休想伤我！",    --244
"你没有资格挑战我！取了我小弟的性命再来吧！",    --245
"过一会我不要看见战士！否则后果自负！",    --246
"过一会我不要看见法师！否则后果自负！",    --247
"过一会我不要看见道士！否则后果自负！",    --248
"5秒内，靠近我，或者选择死亡！",  --249 
}
