--怪物戰鬥中的說話,用于一些戰鬥的說話的配置
"各位勇士注意!還有40秒刷出下一只BOSS!",--61，跨服BOSS死後公告
"各位勇士注意!還有30秒刷出下一只BOSS!",--62，跨服BOSS死後公告
"各位勇士注意!還有20秒刷出下一只BOSS!",--63，跨服BOSS死後公告
"各位勇士注意!還有10秒刷出下一只BOSS!",--64，跨服BOSS死後公告
"各位勇士注意!還有5秒刷出下一只BOSS!",--65，跨服BOSS死後公告
"我喜歡中毒的獵物！看我的毒牙！",--66，毒爆蜘蛛毒牙
"中毒了？是你引爆的蜘蛛吧！吃我憤怒一擊！",--67，天災魔龍劇毒打擊
"呵呵，這次沒炸到其他怪物！",--68，毒爆蜘蛛爆炸未影響其他怪物
"啊，不小心又炸到自己人了……",--69，毒爆蜘蛛爆炸未影響其他怪物
"蜘蛛炸我很疼的，讓它們離我遠點！",--70，毒爆蜘蛛爆炸未影響其他怪物
"可惡的家伙，看我把你們做成烤乳豬！！！",--71，豬剛鬣變身
"哪里逃！！吃我一耙！！！",--72，豬剛鬣變身後拉人
"肚子有些餓啊，我要吃點東西先!",--73，豬剛鬣召喚烤豬
"你以為你能逃到哪兒去！？乖乖的來跟我正面打！",--74，豬剛鬣拉人進近戰範圍
"居然還請了奇怪的幫手，看我怎么收拾他們。",--75，豬剛鬣麻痹圈外的非玩家。
"幫手真是礙事兒！定！",--76，豬剛鬣麻痹圈外的非玩家。
"你們可把俺老孫給惹毛了！",--77，孫悟空變身。
"哪里走！！吃我一棍！！",--78，孫悟空狂暴後拉人。
"對付你請來的幫手們，我只需要施展個定身法就足夠了！",--79，孫悟空麻痹圈外的非玩家。
"跟你們打煩了，我先回去睡個覺！",--80，孫悟空回歸石猴形態。
"看我的猴毛變化！！",--81，孫悟空招雙分身。
"你們能應付得了我的分身嗎？",--82，孫悟空招單分身。
"把我吵醒了還想走？天真！",--83，豬剛鬣拉人進近戰範圍
"你帶來的這些護衛我根本就不放在眼里！",--84，豬剛鬣麻痹圈外的非玩家。
"魚妖用巨大的尾巴把你們掃飛到了水里面，快逃回岸上！",--85，水妖傳送
"請點擊右上角的【離開】來離開副本。",--86，出副本提示
"臭猴子，都創建文明社會了，你竟然還隨隨便便在我老子手掌上撒尿，看我不關你五百年。",--87，如來干猴子
"佛法無邊，讓我來試試你們的能力吧！",--88，如來干玩家
"25秒鐘後如來將化身為隱藏Boss向玩家挑戰，獎勵很豐厚哦！",--89，倒計時
"15秒鐘後如來將化身為隱藏Boss向玩家挑戰，獎勵很豐厚哦！",--90，倒計時
"10秒鐘後如來將化身為隱藏Boss向玩家挑戰，獎勵很豐厚哦！",--91，倒計時
"5秒鐘後如來將化身為隱藏Boss向玩家挑戰，獎勵很豐厚哦！",--92，倒計時
"你在給我撓癢嗎？連俺老孫的防禦都破不了，還好意思說學會了刺殺劍術！！！",--93，悟空嘲諷玩家
"豬妖吃掉了沒中毒的烤乳豬，恢復了250000點生命！",--94，悟空嘲諷玩家
"呀！乳豬有毒！豬妖受到了50000點傷害！",--95，悟空嘲諷玩家
"治療分身沒有中毒，悟空回復了250000點生命！",--96，悟空嘲諷玩家
"中毒的治療分身對悟空造成了50000點傷害！",--97，悟空嘲諷玩家
"玫瑰（10分鐘後可收）",--98
"玫瑰（9分鐘後可收）",--99
"玫瑰（8分鐘後可收）",--100
"玫瑰（7分鐘後可收）",--101
"玫瑰（6分鐘後可收）",--102
"玫瑰（5分鐘後可收）",--103
"玫瑰（4分鐘後可收）",--104
"玫瑰（3分鐘後可收）",--105
"玫瑰（2分鐘後可收）",--106
"玫瑰（1分鐘後可收）",--107
"玫瑰（成熟可收）",--108
"您種植的玫瑰已經成熟，要前往玫瑰園進行收獲嗎？",--109	
"搖錢樹（10分鐘後可收）",--110
"搖錢樹（9分鐘後可收）",--111
"搖錢樹（8分鐘後可收）",--112
"搖錢樹（7分鐘後可收）",--113
"搖錢樹（6分鐘後可收）",--114
"搖錢樹（5分鐘後可收）",--115
"搖錢樹（4分鐘後可收）",--116
"搖錢樹（3分鐘後可收）",--117
"搖錢樹（2分鐘後可收）",--118
"搖錢樹（1分鐘後可收）",--119
"搖錢樹（成熟可收）",--120
"您種植的搖錢樹已經成熟，要前往玫瑰園進行收獲嗎？",--121	
"奇異果（10分鐘後可收）",--122
"奇異果（9分鐘後可收）",--123
"奇異果（8分鐘後可收）",--124
"奇異果（7分鐘後可收）",--125
"奇異果（6分鐘後可收）",--126
"奇異果（5分鐘後可收）",--127
"奇異果（4分鐘後可收）",--128
"奇異果（3分鐘後可收）",--129
"奇異果（2分鐘後可收）",--130
"奇異果（1分鐘後可收）",--131
"奇異果（成熟可收）",--132
"您種植的奇異果已經成熟，要前往玫瑰園進行收獲嗎？",--133
"血菩提（10分鐘後可收）",--134
"血菩提（9分鐘後可收）",--135
"血菩提（8分鐘後可收）",--136
"血菩提（7分鐘後可收）",--137
"血菩提（6分鐘後可收）",--138
"血菩提（5分鐘後可收）",--139
"血菩提（4分鐘後可收）",--140
"血菩提（3分鐘後可收）",--141
"血菩提（2分鐘後可收）",--142
"血菩提（1分鐘後可收）",--143
"血菩提（成熟可收）",--144
"您種植的血菩提已經成熟，要前往玫瑰園進行收獲嗎？",--145
"你們人類就喜歡喝藥，我讓你們喝藥的效果減半！",--146
"螻蟻們竟敢來騷擾我！一招死一個",--147
"斬首！快逃吧~",--148
"出來吧我的小伙伴們",--149
"老大我在你附近死了你就沒無敵了",--150
"老大我在你附近死了會幫你加血的",--151
"我把要你們都變成冰雕",--152
"冰火二重天的滋味不錯吧",--153
"沒天理啊,不是兔子都吃蘿卜",--154
"這蘿卜過期的，死不瞑目啊",--155
"[神燈傳奇]神燈神魔的獻血喚醒了隱藏BOSS:燈芯沉香\\擊敗後有幾率獲得六級魂石！",--156
"[轉生神殿]煉獄暴君臨死前啟動了血祭,變成了暗之煉獄暴君實力大增\\擊敗後可獲得大量轉生魂魄！",--157
"[熱血賽馬]馬場統領一聲慘叫跌落在地,他的龍獸坐騎護主心切,竟瞬間進化了!\\擊敗後有幾率獲得幸運坐騎！",--158
"[土城抗魔]煞翼隊長的屢次失敗讓暗之煞翼隊長惱怒不已,決定親自上陣了!\\擊敗後有幾率獲得6級以上勛章！",--159
"[天地寶窟]謠傳一名神秘玩家在寶窟中發現了巨額寶藏!\\可獲得大量禮券或元寶！",--160
"[勇士角斗場]角斗場中有個神秘人採集到了魔王花,傷害提高多倍！\\一時間神鬼共泣!",--161
"[太虛靈泉]靈泉中出現了百年一現的東海珍珠,真是幸運啊!\\採集後可獲得大量經驗和靈珠!",--162
"不要逃太遠，靠近了跟我玩玩嘛！",--163
"玩家%s被寄生了！踩火燒死寄生蟲來防止Boss回血！",--164
"玩家%s中了炸彈！踩冰澆滅炸彈，不然會炸死所有人！",--165
"你們別想擊敗我，除非把所有守衛變成火屬性",	--166
"你們別想擊敗我，除非把所有守衛變成金屬性",	--167
"你們別想擊敗我，除非把所有守衛變成木屬性",	--168
"你們別想擊敗我，除非把所有守衛變成土屬性",	--169
"你們別想擊敗我，除非把所有守衛變成水屬性",	--170
"我的奴隸出來把他們都殺了吧哈哈！",	--171
"只要我身上沒有致死效果，我是死不了的！施放恢復術",	--172
"終于解脫了..我給你們的祝福可以抵擋沙恩巴頓的傷害",	--173
"守護女神只剩50%的血量，請注意保護",	--174
"守護女神只剩30%的血量，請注意保護",	--175
"請在10秒內跑到伴侶身邊，否則Boss將會狂暴",	--176
"嘗嘗蘿卜的味道吧",	--177
"蘿卜神力，天下無敵",	--178
"裝備2級以上的護盾可使技能生效",	--179
"敖皇已在玩家身體內種下蠱毒！請迅速遠離中毒玩家",  --180
"魂淡！別靠近我們的王，他需要休息！",  --181
"現在的敖皇你無法傷害它，只有敖皇親衛身上有解決的辦法！",  --182
"別過來！別過來！我說了你別過來！",  --183
"成功地傷害到了敖皇並且打擾到它休息了",  --184
"正在準備階段，雙方禁止攻擊！",  --185
"比賽開始！",  --186
"好美味的精血！謝謝咯，親!",  --187
"小的們，炸他炸他！",  --188
"要死了！別打，等我緩會再來收拾你！",  --189
"復活吧！我需要你的力量",  --190
"毒祭！恢復吧！",  --191
"恭喜發財！巡游天神非常開心，在王城(%d,%d)撒下獎勵！",  --192
"天神對本次巡游感到十分滿意，離開之際撒下了大量獎勵！",  --193
"哈哈哈！本次巡游真讓我高興，這些獎勵就給你們了！",  --194
"進攻，破壞，顫抖吧！",  --195
"毀滅！毀滅一切！",  --196
"你們惹怒我了，受死吧！",  --197
"感受冰冷的侵蝕吧！",  --198
"看我分身的力量！",  --199
"賜我力量！",  --200
"近我身者必遭重創！哈哈哈！",  --201
"幽煞之力，把祭品轉成我的力量吧！",  --202
"滾開！我要浴火重生！",  --203
"神之幻影，無敵之軀！",  --204
"九天神雷，屠獠一切！",  --205
"過來吧！我們同歸于盡！",  --206
"以彼之力，還之彼身！哈哈哈！",  --207
"折服吧！只有隱龍精血才能解除禁止使用職業技能的BUFF！",  --208
"神龍現世！爾等渣滓速速授首！",  --209
"以吾之血，獻于吾皇！",  --210
"歸元大法！",  --211
"嫦娥在土城(%d,%d)受到天狗的騷擾！快去救援。",  --212
"救命，這些瘋狗要咬我了！",  --213
"終于能去月球了！謝謝大家！",  --214
"嫦娥終于順利奔月！月神在土城(%d,%d)撒下豐厚獎勵！",  --215
}
