{ group = 0, type = 0, id = 526, propability = 2, count = 0, mincount = 1, maxcount = 2 }, --招魂幡三
{ group = 0, type = 0, id = 856, propability = 6, count = 1 }, --英雄技能残页
{ group = 2, type = 0, id = 605, propability = 196, count = 1 }, --玄灵腰带
{ group = 2, type = 0, id = 606, propability = 196, count = 1 }, --雷霆战靴
{ group = 2, type = 0, id = 607, propability = 196, count = 1 }, --星灿法履
{ group = 2, type = 0, id = 608, propability = 196, count = 1 }, --玄灵道鞋
{ group = 2, type = 0, id = 609, propability = 196, count = 1 }, --雷霆戒指
{ group = 2, type = 0, id = 610, propability = 196, count = 1 }, --星灿戒指
{ group = 2, type = 0, id = 611, propability = 196, count = 1 }, --玄灵戒指
{ group = 3, type = 0, id = 94, propability = 273, count = 1 }, --偃月战刀
{ group = 3, type = 0, id = 95, propability = 312, count = 1 }, --黄金战甲(男)
{ group = 3, type = 0, id = 96, propability = 312, count = 1 }, --黄金战甲(女)
{ group = 3, type = 0, id = 97, propability = 269, count = 1 }, --黄金头盔
{ group = 3, type = 0, id = 98, propability = 269, count = 1 }, --黄金项链
{ group = 3, type = 0, id = 99, propability = 269, count = 1 }, --黄金护腕
{ group = 3, type = 0, id = 100, propability = 269, count = 1 }, --黄金腰带
{ group = 3, type = 0, id = 101, propability = 269, count = 1 }, --黄金战靴
{ group = 3, type = 0, id = 102, propability = 269, count = 1 }, --黄金宝石
{ group = 3, type = 0, id = 103, propability = 269, count = 1 }, --黄金戒指
{ group = 3, type = 0, id = 105, propability = 273, count = 1 }, --金光法杖
{ group = 3, type = 0, id = 106, propability = 312, count = 1 }, --红玉魔袍(男)
{ group = 3, type = 0, id = 107, propability = 312, count = 1 }, --红玉魔袍(女)
{ group = 3, type = 0, id = 108, propability = 269, count = 1 }, --红玉头盔
{ group = 3, type = 0, id = 109, propability = 269, count = 1 }, --红玉项链
{ group = 3, type = 0, id = 110, propability = 269, count = 1 }, --红玉手镯
{ group = 3, type = 0, id = 111, propability = 269, count = 1 }, --红玉腰带
{ group = 3, type = 0, id = 112, propability = 269, count = 1 }, --红玉法履
{ group = 3, type = 0, id = 113, propability = 269, count = 1 }, --红玉宝石
{ group = 3, type = 0, id = 114, propability = 269, count = 1 }, --红玉戒指
{ group = 3, type = 0, id = 116, propability = 273, count = 1 }, --光芒神剑
{ group = 3, type = 0, id = 117, propability = 312, count = 1 }, --蓝灵道衣(男)
{ group = 3, type = 0, id = 118, propability = 312, count = 1 }, --蓝灵道衣(女)
{ group = 3, type = 0, id = 119, propability = 269, count = 1 }, --蓝灵头盔
{ group = 3, type = 0, id = 120, propability = 269, count = 1 }, --蓝灵项链
{ group = 3, type = 0, id = 121, propability = 269, count = 1 }, --蓝灵手镯
{ group = 3, type = 0, id = 122, propability = 269, count = 1 }, --蓝灵腰带
{ group = 3, type = 0, id = 123, propability = 269, count = 1 }, --蓝灵道鞋
{ group = 3, type = 0, id = 124, propability = 269, count = 1 }, --蓝灵宝石
{ group = 3, type = 0, id = 125, propability = 269, count = 1 }, --蓝灵戒指
{ group = 4, type = 0, id = 127, propability = 2785, count = 1 }, --武之影魅
{ group = 4, type = 0, id = 131, propability = 1232, count = 1 }, --火龙项链
{ group = 4, type = 0, id = 132, propability = 1157, count = 1 }, --火龙手镯
{ group = 4, type = 0, id = 136, propability = 1157, count = 1 }, --火龙戒指
{ group = 4, type = 0, id = 138, propability = 2785, count = 1 }, --易血狂龙
{ group = 4, type = 0, id = 142, propability = 1232, count = 1 }, --雷炎项链
{ group = 4, type = 0, id = 143, propability = 1157, count = 1 }, --雷炎手镯
{ group = 4, type = 0, id = 147, propability = 1157, count = 1 }, --雷炎戒指
{ group = 4, type = 0, id = 149, propability = 2785, count = 1 }, --凤舞狂沙
{ group = 4, type = 0, id = 153, propability = 1232, count = 1 }, --乾坤项链
{ group = 4, type = 0, id = 154, propability = 1157, count = 1 }, --乾坤手镯
{ group = 4, type = 0, id = 158, propability = 1157, count = 1 }, --乾坤戒指
{ group = 5, type = 0, id = 137, propability = 1285, count = 1 }, --葫芦勋章
{ group = 5, type = 0, id = 148, propability = 1285, count = 1 }, --铁血勋章
{ group = 5, type = 0, id = 159, propability = 1285, count = 1 }, --荣誉勋章
{ group = 6, type = 0, id = 280, propability = 43, count = 1 }, --一级灵珠
{ group = 6, type = 0, id = 281, propability = 130, count = 1 }, --二级灵珠
