{ group = 0, type = 0, id = 280, propability = 27, count = 1 }, --Ò»¼¶ÁéÖé
{ group = 1, type = 0, id = 607, propability = 50, count = 1 }, --ĞÇ²Ó·¨ÂÄ
{ group = 1, type = 0, id = 608, propability = 50, count = 1 }, --ĞşÁéµÀĞ¬
{ group = 1, type = 0, id = 603, propability = 50, count = 1 }, --À×öªÑü´ø
{ group = 1, type = 0, id = 604, propability = 50, count = 1 }, --ĞÇ²ÓÑü´ø
{ group = 1, type = 0, id = 605, propability = 50, count = 1 }, --ĞşÁéÑü´ø
{ group = 1, type = 0, id = 615, propability = 50, count = 1 }, --À×öªÍ·¿ø
{ group = 1, type = 0, id = 616, propability = 50, count = 1 }, --ĞÇ²ÓÍ·¿ø
{ group = 1, type = 0, id = 617, propability = 50, count = 1 }, --ĞşÁéÍ·¿ø
{ group = 1, type = 0, id = 102, propability = 133, count = 1 }, --»Æ½ğ±¦Ê¯
{ group = 1, type = 0, id = 107, propability = 133, count = 1 }, --ºìÓñÄ§ÅÛ(Å®)
{ group = 1, type = 0, id = 108, propability = 133, count = 1 }, --ºìÓñÍ·¿ø
{ group = 1, type = 0, id = 94, propability = 133, count = 1 }, --ÙÈÔÂÕ½µ¶
{ group = 1, type = 0, id = 105, propability = 133, count = 1 }, --½ğ¹â·¨ÕÈ
{ group = 1, type = 0, id = 118, propability = 133, count = 1 }, --À¶ÁéµÀÒÂ(Å®)
{ group = 1, type = 0, id = 119, propability = 133, count = 1 }, --À¶ÁéÍ·¿ø
{ group = 1, type = 0, id = 106, propability = 133, count = 1 }, --ºìÓñÄ§ÅÛ(ÄĞ)
{ group = 1, type = 0, id = 95, propability = 133, count = 1 }, --»Æ½ğÕ½¼×(ÄĞ)
{ group = 1, type = 0, id = 96, propability = 133, count = 1 }, --»Æ½ğÕ½¼×(Å®)
{ group = 1, type = 0, id = 97, propability = 133, count = 1 }, --»Æ½ğÍ·¿ø
{ group = 1, type = 0, id = 113, propability = 133, count = 1 }, --ºìÓñ±¦Ê¯
{ group = 1, type = 0, id = 116, propability = 133, count = 1 }, --¹âÃ¢Éñ½£
{ group = 1, type = 0, id = 117, propability = 133, count = 1 }, --À¶ÁéµÀÒÂ(ÄĞ)
{ group = 1, type = 0, id = 124, propability = 133, count = 1 }, --À¶Áé±¦Ê¯
{ group = 1, type = 0, id = 119, propability = 133, count = 1 }, --À¶ÁéÍ·¿ø
