{ group = 0, type = 0, id = 280, propability = 72, count = 1 }, --Ò»¼¶ÁéÖé
{ group = 1, type = 0, id = 174, propability = 3000, count = 1 }, --Ñ©ÓòÍ·¿ø
{ group = 1, type = 0, id = 177, propability = 3000, count = 1 }, --Ñ©ÓòÑü´ø
{ group = 1, type = 0, id = 178, propability = 3000, count = 1 }, --Ñ©ÓòÄ§Ğ¬
{ group = 1, type = 0, id = 179, propability = 3000, count = 1 }, --Ñ©Óò±¦Ê¯
{ group = 1, type = 0, id = 180, propability = 3000, count = 1 }, --Ñ©Óò½äÖ¸
{ group = 1, type = 0, id = 183, propability = 3000, count = 1 }, --Ììî¸µÀÒÂ(ÄĞ)
{ group = 1, type = 0, id = 184, propability = 1200, count = 1 }, --Ììî¸µÀÒÂ(Å®)
{ group = 1, type = 0, id = 185, propability = 1200, count = 1 }, --Ììî¸Í·¿ø
{ group = 1, type = 0, id = 188, propability = 1200, count = 1 }, --Ììî¸Ñü´ø
{ group = 1, type = 0, id = 189, propability = 1200, count = 1 }, --Ììî¸µÀĞ¬
{ group = 1, type = 0, id = 190, propability = 1200, count = 1 }, --Ììî¸±¦Ê¯
{ group = 1, type = 0, id = 191, propability = 1200, count = 1 }, --Ììî¸Ö®½ä
{ group = 1, type = 0, id = 131, propability = 1200, count = 1 }, --»ğÁúÏîÁ´
{ group = 1, type = 0, id = 132, propability = 1200, count = 1 }, --»ğÁúÊÖïí
{ group = 1, type = 0, id = 136, propability = 1200, count = 1 }, --»ğÁú½äÖ¸
{ group = 1, type = 0, id = 138, propability = 1200, count = 1 }, --Ò×Ñª¿ñÁú
{ group = 1, type = 0, id = 142, propability = 1200, count = 1 }, --À×Ñ×ÏîÁ´
{ group = 1, type = 0, id = 143, propability = 1200, count = 1 }, --À×Ñ×ÊÖïí
{ group = 1, type = 0, id = 147, propability = 1200, count = 1 }, --À×Ñ×½äÖ¸
{ group = 1, type = 0, id = 149, propability = 1200, count = 1 }, --·ïÎè¿ñÉ³
{ group = 1, type = 0, id = 153, propability = 150, count = 1 }, --Ç¬À¤ÏîÁ´
{ group = 1, type = 0, id = 154, propability = 150, count = 1 }, --Ç¬À¤ÊÖïí
{ group = 1, type = 0, id = 158, propability = 150, count = 1 }, --Ç¬À¤½äÖ¸
{ group = 1, type = 0, id = 137, propability = 150, count = 1 }, --ºùÂ«Ñ«ÕÂ
{ group = 1, type = 0, id = 148, propability = 150, count = 1 }, --ÌúÑªÑ«ÕÂ
{ group = 1, type = 0, id = 159, propability = 150, count = 1 }, --ÈÙÓşÑ«ÕÂ
{ group = 1, type = 0, id = 606, propability = 150, count = 1 }, --À×öªÕ½Ñ¥
{ group = 1, type = 0, id = 607, propability = 150, count = 1 }, --ĞÇ²Ó·¨ÂÄ
{ group = 1, type = 0, id = 608, propability = 150, count = 1 }, --ĞşÁéµÀĞ¬
{ group = 1, type = 0, id = 603, propability = 399, count = 1 }, --À×öªÑü´ø
{ group = 1, type = 0, id = 604, propability = 399, count = 1 }, --ĞÇ²ÓÑü´ø
{ group = 1, type = 0, id = 605, propability = 399, count = 1 }, --ĞşÁéÑü´ø
{ group = 1, type = 0, id = 615, propability = 399, count = 1 }, --À×öªÍ·¿ø
{ group = 1, type = 0, id = 616, propability = 399, count = 1 }, --ĞÇ²ÓÍ·¿ø
{ group = 1, type = 0, id = 617, propability = 399, count = 1 }, --ĞşÁéÍ·¿ø
{ group = 1, type = 0, id = 102, propability = 399, count = 1 }, --»Æ½ğ±¦Ê¯
{ group = 1, type = 0, id = 107, propability = 399, count = 1 }, --ºìÓñÄ§ÅÛ(Å®)
{ group = 1, type = 0, id = 108, propability = 399, count = 1 }, --ºìÓñÍ·¿ø
{ group = 1, type = 0, id = 94, propability = 399, count = 1 }, --ÙÈÔÂÕ½µ¶
{ group = 1, type = 0, id = 105, propability = 399, count = 1 }, --½ğ¹â·¨ÕÈ
{ group = 1, type = 0, id = 118, propability = 399, count = 1 }, --À¶ÁéµÀÒÂ(Å®)
{ group = 1, type = 0, id = 119, propability = 399, count = 1 }, --À¶ÁéÍ·¿ø
{ group = 1, type = 0, id = 106, propability = 399, count = 1 }, --ºìÓñÄ§ÅÛ(ÄĞ)
{ group = 1, type = 0, id = 95, propability = 399, count = 1 }, --»Æ½ğÕ½¼×(ÄĞ)
{ group = 1, type = 0, id = 96, propability = 399, count = 1 }, --»Æ½ğÕ½¼×(Å®)
{ group = 1, type = 0, id = 97, propability = 360, count = 1 }, --»Æ½ğÍ·¿ø
{ group = 1, type = 0, id = 113, propability = 360, count = 1 }, --ºìÓñ±¦Ê¯
{ group = 1, type = 0, id = 116, propability = 360, count = 1 }, --¹âÃ¢Éñ½£
{ group = 1, type = 0, id = 117, propability = 360, count = 1 }, --À¶ÁéµÀÒÂ(ÄĞ)
{ group = 1, type = 0, id = 124, propability = 360, count = 1 }, --À¶Áé±¦Ê¯
{ group = 1, type = 0, id = 119, propability = 360, count = 1 }, --À¶ÁéÍ·¿ø
