{ group = 0, type = 0, id = 6, propability = 15, count = 0, mincount = 1, maxcount = 2 }, --火撩天苍
{ group = 0, type = 0, id = 55, propability = 8, count = 0, mincount = 1, maxcount = 2 }, --天苍战甲(男)
{ group = 0, type = 0, id = 70, propability = 8, count = 0, mincount = 1, maxcount = 2 }, --天苍战甲(女)
{ group = 0, type = 0, id = 146, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --天苍腰带
{ group = 0, type = 0, id = 192, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --天苍头盔
{ group = 0, type = 0, id = 238, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --天苍项链
{ group = 0, type = 0, id = 284, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --天苍手镯
{ group = 0, type = 0, id = 330, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --天苍戒指
{ group = 0, type = 0, id = 376, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --天苍战靴
{ group = 0, type = 0, id = 421, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --天苍宝石
{ group = 0, type = 0, id = 21, propability = 15, count = 0, mincount = 1, maxcount = 2 }, --紫薇映月
{ group = 0, type = 0, id = 85, propability = 8, count = 0, mincount = 1, maxcount = 2 }, --紫薇法袍(男)
{ group = 0, type = 0, id = 100, propability = 8, count = 0, mincount = 1, maxcount = 2 }, --紫薇法袍(女)
{ group = 0, type = 0, id = 161, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --紫薇腰带
{ group = 0, type = 0, id = 207, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --紫薇头盔
{ group = 0, type = 0, id = 253, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --紫薇项链
{ group = 0, type = 0, id = 299, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --紫薇手镯
{ group = 0, type = 0, id = 345, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --紫薇戒指
{ group = 0, type = 0, id = 391, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --紫薇法靴
{ group = 0, type = 0, id = 436, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --紫薇宝石
{ group = 0, type = 0, id = 36, propability = 15, count = 0, mincount = 1, maxcount = 2 }, --笙狼道剑
{ group = 0, type = 0, id = 115, propability = 8, count = 0, mincount = 1, maxcount = 2 }, --笙狼道铠(男)
{ group = 0, type = 0, id = 130, propability = 8, count = 0, mincount = 1, maxcount = 2 }, --笙狼道铠(女)
{ group = 0, type = 0, id = 176, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --笙狼腰带
{ group = 0, type = 0, id = 222, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --笙狼头盔
{ group = 0, type = 0, id = 268, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --笙狼项链
{ group = 0, type = 0, id = 314, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --笙狼手镯
{ group = 0, type = 0, id = 360, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --笙狼戒指
{ group = 0, type = 0, id = 406, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --笙狼道靴
{ group = 0, type = 0, id = 451, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --笙狼宝石
{ group = 1, type = 0, id = 7, propability = 15, count = 1 }, --斩龙屠魔
{ group = 7, type = 0, id = 58, propability = 120, count = 1 }, --玄阳战甲(男)
{ group = 7, type = 0, id = 73, propability = 120, count = 1 }, --玄阳战甲(女)
{ group = 7, type = 0, id = 88, propability = 120, count = 1 }, --琉璃法袍(男)
{ group = 7, type = 0, id = 103, propability = 120, count = 1 }, --琉璃法袍(女)
{ group = 7, type = 0, id = 118, propability = 120, count = 1 }, --两仪道铠(男)
{ group = 7, type = 0, id = 133, propability = 120, count = 1 }, --两仪道铠(女)
{ group = 7, type = 0, id = 149, propability = 70, count = 1 }, --玄阳腰带
{ group = 7, type = 0, id = 164, propability = 70, count = 1 }, --琉璃腰带
{ group = 7, type = 0, id = 179, propability = 70, count = 1 }, --两仪腰带
{ group = 7, type = 0, id = 195, propability = 70, count = 1 }, --玄阳头盔
{ group = 7, type = 0, id = 210, propability = 70, count = 1 }, --琉璃头盔
{ group = 7, type = 0, id = 225, propability = 70, count = 1 }, --两仪头盔
{ group = 7, type = 0, id = 241, propability = 70, count = 1 }, --玄阳项链
{ group = 7, type = 0, id = 256, propability = 70, count = 1 }, --琉璃项链
{ group = 7, type = 0, id = 271, propability = 70, count = 1 }, --两仪项链
{ group = 7, type = 0, id = 287, propability = 70, count = 1 }, --玄阳手镯
{ group = 7, type = 0, id = 302, propability = 70, count = 1 }, --琉璃手镯
{ group = 7, type = 0, id = 317, propability = 70, count = 1 }, --两仪手镯
{ group = 7, type = 0, id = 333, propability = 70, count = 1 }, --玄阳戒指
{ group = 7, type = 0, id = 348, propability = 70, count = 1 }, --琉璃戒指
{ group = 7, type = 0, id = 363, propability = 70, count = 1 }, --两仪戒指
{ group = 7, type = 0, id = 379, propability = 70, count = 1 }, --玄阳战靴
{ group = 7, type = 0, id = 394, propability = 70, count = 1 }, --琉璃法靴
{ group = 7, type = 0, id = 409, propability = 70, count = 1 }, --两仪道靴
{ group = 7, type = 0, id = 424, propability = 70, count = 1 }, --玄阳宝石
{ group = 7, type = 0, id = 439, propability = 70, count = 1 }, --琉璃宝石
{ group = 7, type = 0, id = 454, propability = 70, count = 1 }, --两仪宝石
{ group = 7, type = 0, id = 9, propability = 70, count = 1 }, --戮仙霸斩
{ group = 7, type = 0, id = 24, propability = 70, count = 1 }, --琉璃法杖
{ group = 7, type = 0, id = 39, propability = 70, count = 1 }, --青翼道剑
{ group = 8, type = 0, id = 10, propability = 150, count = 1 }, --轰天灭世
{ group = 8, type = 0, id = 25, propability = 150, count = 1 }, --焚天绝地
{ group = 8, type = 0, id = 40, propability = 150, count = 1 }, --诛天斩仙
{ group = 8, type = 0, id = 59, propability = 150, count = 1 }, --轰天战甲(男)
{ group = 8, type = 0, id = 74, propability = 150, count = 1 }, --轰天战甲(女)
{ group = 8, type = 0, id = 89, propability = 150, count = 1 }, --焚天法袍(男)
{ group = 8, type = 0, id = 104, propability = 150, count = 1 }, --焚天法袍(女)
{ group = 8, type = 0, id = 119, propability = 150, count = 1 }, --诛天道铠(男)
{ group = 8, type = 0, id = 134, propability = 150, count = 1 }, --诛天道铠(女)
{ group = 8, type = 0, id = 150, propability = 150, count = 1 }, --轰天腰带
{ group = 8, type = 0, id = 165, propability = 150, count = 1 }, --焚天腰带
{ group = 8, type = 0, id = 180, propability = 150, count = 1 }, --诛天腰带
{ group = 8, type = 0, id = 196, propability = 150, count = 1 }, --轰天头盔
{ group = 8, type = 0, id = 211, propability = 150, count = 1 }, --焚天头盔
{ group = 8, type = 0, id = 226, propability = 150, count = 1 }, --诛天头盔
{ group = 8, type = 0, id = 242, propability = 150, count = 1 }, --轰天项链
{ group = 8, type = 0, id = 257, propability = 150, count = 1 }, --焚天项链
{ group = 8, type = 0, id = 272, propability = 150, count = 1 }, --诛天项链
{ group = 8, type = 0, id = 288, propability = 150, count = 1 }, --轰天手镯
{ group = 8, type = 0, id = 303, propability = 150, count = 1 }, --焚天手镯
{ group = 8, type = 0, id = 318, propability = 150, count = 1 }, --诛天手镯
{ group = 8, type = 0, id = 334, propability = 150, count = 1 }, --轰天戒指
{ group = 8, type = 0, id = 349, propability = 150, count = 1 }, --焚天戒指
{ group = 8, type = 0, id = 364, propability = 150, count = 1 }, --诛天戒指
{ group = 8, type = 0, id = 380, propability = 150, count = 1 }, --轰天战靴
{ group = 8, type = 0, id = 395, propability = 150, count = 1 }, --焚天法靴
{ group = 8, type = 0, id = 410, propability = 150, count = 1 }, --诛天道靴
{ group = 8, type = 0, id = 425, propability = 150, count = 1 }, --轰天宝石
{ group = 8, type = 0, id = 440, propability = 150, count = 1 }, --焚天宝石
{ group = 8, type = 0, id = 455, propability = 150, count = 1 }, --诛天宝石
{ group = 0, type = 0, id = 506, propability = 10, count = 0, mincount = 0, maxcount = 1 }, --3阶物攻魂玉
{ group = 0, type = 0, id = 507, propability = 10, count = 0, mincount = 0, maxcount = 1 }, --3阶魔攻魂玉
{ group = 0, type = 0, id = 508, propability = 10, count = 0, mincount = 0, maxcount = 1 }, --3阶道攻魂玉
{ group = 0, type = 0, id = 509, propability = 5, count = 0, mincount = 0, maxcount = 1 }, --3阶物防魂玉
{ group = 0, type = 0, id = 510, propability = 5, count = 0, mincount = 0, maxcount = 1 }, --3阶魔防魂玉
{ group = 0, type = 0, id = 511, propability = 5, count = 0, mincount = 0, maxcount = 1 }, --3阶生命魂玉
{ group = 0, type = 0, id = 512, propability = 3, count = 0, mincount = 0, maxcount = 1 }, --3阶魔法魂玉
{ group = 0, type = 0, id = 499, propability = 1, count = 0, mincount = 1, maxcount = 2 }, --2阶物攻魂玉
{ group = 0, type = 0, id = 500, propability = 1, count = 0, mincount = 1, maxcount = 2 }, --2阶魔攻魂玉
{ group = 0, type = 0, id = 501, propability = 1, count = 0, mincount = 1, maxcount = 2 }, --2阶道攻魂玉
{ group = 0, type = 0, id = 502, propability = 1, count = 0, mincount = 1, maxcount = 2 }, --2阶物防魂玉
{ group = 0, type = 0, id = 503, propability = 1, count = 0, mincount = 1, maxcount = 2 }, --2阶魔防魂玉
{ group = 0, type = 0, id = 504, propability = 1, count = 0, mincount = 1, maxcount = 2 }, --2阶生命魂玉
{ group = 0, type = 0, id = 505, propability = 1, count = 0, mincount = 1, maxcount = 2 }, --2阶魔法魂玉
{ group = 0, type = 0, id = 492, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --1阶物攻魂玉
{ group = 0, type = 0, id = 493, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --1阶魔攻魂玉
{ group = 0, type = 0, id = 494, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --1阶道攻魂玉
{ group = 0, type = 0, id = 495, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --1阶物防魂玉
{ group = 0, type = 0, id = 496, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --1阶魔防魂玉
{ group = 0, type = 0, id = 497, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --1阶生命魂玉
{ group = 0, type = 0, id = 498, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --1阶魔法魂玉
{ group = 0, type = 0, id = 484, propability = 1, count = 0, mincount = 0, maxcount = 5, bind = 1 }, --强化石
{ group = 0, type = 0, id = 485, propability = 5, count = 0, mincount = 1, maxcount = 5, bind = 1 }, --完美强化符
{ group = 0, type = 0, id = 918, propability = 1, count = 0, mincount = 1, maxcount = 5, bind = 1 }, --星珠碎晶(小)
{ group = 0, type = 0, id = 921, propability = 1, count = 0, mincount = 1, maxcount = 5, bind = 1 }, --护镜碎晶(小)
{ group = 0, type = 0, id = 927, propability = 1, count = 0, mincount = 1, maxcount = 5, bind = 1 }, --玄盾碎晶(小)
{ group = 0, type = 0, id = 924, propability = 1, count = 0, mincount = 1, maxcount = 5, bind = 1 }, --血印碎晶(小)
{ group = 0, type = 0, id = 491, propability = 5, count = 0, mincount = 0, maxcount = 5 }, --翅膀进阶珠
{ group = 0, type = 0, id = 618, propability = 15, count = 0, mincount = 0, maxcount = 1, growLv = 5 }, --行会银票
{ group = 0, type = 0, id = 623, propability = 15, count = 0, mincount = 0, maxcount = 1, growLv = 5, bind = 1 }, --小金砖
{ group = 0, type = 0, id = 624, propability = 100, count = 0, mincount = 0, maxcount = 1, growLv = 2, bind = 1 }, --大金砖
{ group = 0, type = 0, id = 726, propability = 10, count = 0, mincount = 0, maxcount = 1, growLv = 6, bind = 1 }, --百万经验灵丹
{ group = 0, type = 0, id = 727, propability = 15, count = 0, mincount = 0, maxcount = 1, growLv = 8, bind = 1 }, --千万经验灵丹
{ group = 0, type = 0, id = 728, propability = 50, count = 0, mincount = 0, maxcount = 1, growLv = 10, bind = 1 }, --一亿经验灵丹
{ group = 0, type = 0, id = 745, propability = 5, count = 0, mincount = 0, maxcount = 8 }, --祝福油
{ group = 0, type = 0, id = 746, propability = 50, count = 0, mincount = 0, maxcount = 1, growLv = 5 }, --超级祝福油
{ group = 0, type = 0, id = 747, propability = 1, count = 0, mincount = 0, maxcount = 5 }, --高级强化石
{ group = 0, type = 0, id = 779, propability = 30, count = 0, mincount = 1, maxcount = 2, growLv = 5, bind = 1 }, --二阶灵羽
{ group = 0, type = 0, id = 463, propability = 1, count = 0, mincount = 5, maxcount = 8, bind = 1 }, --一阶灵羽
{ group = 0, type = 0, id = 808, propability = 1, count = 0, mincount = 3, maxcount = 5 }, --绑定10元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 2 }, --绑定100元宝锭
{ group = 0, type = 0, id = 810, propability = 2500, count = 1 }, --绑定500元宝锭
{ group = 0, type = 0, id = 811, propability = 25000, count = 1 }, --绑定1000元宝锭
{ group = 0, type = 0, id = 821, propability = 1, count = 1 }, --复活卷
{ group = 0, type = 0, id = 835, propability = 50, count = 1 }, --物理攻击药剂
{ group = 0, type = 0, id = 836, propability = 50, count = 1 }, --魔法攻击药剂
{ group = 0, type = 0, id = 837, propability = 50, count = 1 }, --道术攻击药剂
{ group = 0, type = 0, id = 776, propability = 100000, count = 1 }, --100元宝票
{ group = 0, type = 0, id = 777, propability = 1000000, count = 1 }, --1000元宝票
{ group = 0, type = 0, id = 793, propability = 100, count = 0, mincount = 0, maxcount = 1 }, --1级豪华魂玉箱
{ group = 0, type = 0, id = 794, propability = 500, count = 0, mincount = 0, maxcount = 1 }, --2级豪华魂玉箱
{ group = 0, type = 0, id = 795, propability = 1000, count = 0, mincount = 0, maxcount = 1 }, --3级豪华魂玉箱
{ group = 0, type = 0, id = 850, propability = 100, count = 0, mincount = 0, maxcount = 1 }, --寻宝卷
{ group = 0, type = 0, id = 1215, propability = 20000, count = 0, mincount = 0, maxcount = 1 }, --五级完美强化符
{ group = 0, type = 0, id = 464, propability = 5, count = 0, mincount = 0, maxcount = 1 }, --1阶魂珠
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 6000, maxcount = 15000 }, --绑定金币
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 6000, maxcount = 15000 }, --绑定金币
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 6000, maxcount = 15000 }, --绑定金币
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 6000, maxcount = 15000 }, --绑定金币
