{ group = 1, type = 0, id = 281, propability = 4, count = 1 }, --二级灵珠
{ group = 1, type = 0, id = 282, propability = 8, count = 1 }, --三级灵珠
{ group = 1, type = 0, id = 283, propability = 30, count = 1 }, --四级灵珠
{ group = 1, type = 0, id = 1402, propability = 80, count = 1 }, --五级灵珠
{ group = 1, type = 0, id = 193, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --武神唤月
{ group = 1, type = 0, id = 252, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --冥魅项链
{ group = 1, type = 0, id = 253, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --冥魅手镯
{ group = 1, type = 0, id = 254, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --冥魅腰带
{ group = 1, type = 0, id = 255, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --冥魅道鞋
{ group = 1, type = 0, id = 256, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --冥魅宝石
{ group = 1, type = 0, id = 257, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --冥魅戒指
{ group = 1, type = 0, id = 695, propability = 500, count = 1, strong = -5, strongMin = 3 }, --翠绿勋章(4级)
{ group = 1, type = 0, id = 1203, propability = 1800, count = 1, strong = -5, strongMin = 3 }, --炼狱戒指
{ group = 1, type = 0, id = 1214, propability = 1800, count = 1, strong = -5, strongMin = 3 }, --辉煌戒指
{ group = 1, type = 0, id = 1225, propability = 1800, count = 1, strong = -5, strongMin = 3 }, --碧海戒指
{ group = 1, type = 0, id = 696, propability = 1000, count = 1, strong = -5, strongMin = 3 }, --守护勋章(5级)
