{ group = 1, type = 0, id = 282, propability = 2, count = 1 }, --Èı¼¶ÁéÖé
{ group = 1, type = 0, id = 283, propability = 1, count = 1 }, --ËÄ¼¶ÁéÖé
{ group = 1, type = 0, id = 1402, propability = 4, count = 1 }, --Îå¼¶ÁéÖé
{ group = 1, type = 0, id = 982, propability = 20, count = 1 }, --»Æ½ğÂé±Ô½äÖ¸
{ group = 1, type = 0, id = 983, propability = 20, count = 1 }, --ºìÓñ»¤Ìå½äÖ¸
{ group = 1, type = 0, id = 984, propability = 20, count = 1 }, --À¶Áé¸´»î½äÖ¸
{ group = 1, type = 0, id = 193, propability = 60, count = 1, strong = -5, strongMin = 3 }, --ÎäÉñ»½ÔÂ
{ group = 1, type = 0, id = 235, propability = 12, count = 1, strong = -5, strongMin = 3 }, --Ç§¾û½äÖ¸
{ group = 1, type = 0, id = 237, propability = 20, count = 1, strong = -5, strongMin = 3 }, --ºìÁ«
{ group = 1, type = 0, id = 238, propability = 16, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæÄ§ÅÛ(ÄĞ)
{ group = 1, type = 0, id = 239, propability = 16, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæÄ§ÅÛ(Å®)
{ group = 1, type = 0, id = 240, propability = 12, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæÍ·¿ø
{ group = 1, type = 0, id = 241, propability = 12, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæÏîÁ´
{ group = 1, type = 0, id = 242, propability = 12, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæÊÖïí
{ group = 1, type = 0, id = 243, propability = 12, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæÑü´ø
{ group = 1, type = 0, id = 244, propability = 12, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæ·¨ÂÄ
{ group = 1, type = 0, id = 245, propability = 12, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæ±¦Ê¯
{ group = 1, type = 0, id = 246, propability = 12, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæ½äÖ¸
{ group = 1, type = 0, id = 248, propability = 20, count = 1, strong = -5, strongMin = 3 }, --Õ¿À¶
{ group = 1, type = 0, id = 249, propability = 16, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷ÈµÀÒÂ(ÄĞ)
{ group = 1, type = 0, id = 250, propability = 16, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷ÈµÀÒÂ(Å®)
{ group = 1, type = 0, id = 251, propability = 12, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷ÈÍ·¿ø
{ group = 1, type = 0, id = 252, propability = 12, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷ÈÏîÁ´
{ group = 1, type = 0, id = 253, propability = 12, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷ÈÊÖïí
{ group = 1, type = 0, id = 254, propability = 12, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷ÈÑü´ø
{ group = 1, type = 0, id = 255, propability = 12, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷ÈµÀĞ¬
{ group = 1, type = 0, id = 256, propability = 12, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷È±¦Ê¯
{ group = 1, type = 0, id = 257, propability = 12, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷È½äÖ¸
{ group = 1, type = 0, id = 695, propability = 40, count = 1, strong = -5, strongMin = 3 }, --´äÂÌÑ«ÕÂ(4¼¶)
{ group = 1, type = 0, id = 1197, propability = 60, count = 1, strong = -5, strongMin = 3 }, --Á¶ÓüÍ·¿ø
{ group = 1, type = 0, id = 1198, propability = 60, count = 1, strong = -5, strongMin = 3 }, --Á¶ÓüÏîÁ´
{ group = 1, type = 0, id = 1199, propability = 60, count = 1, strong = -5, strongMin = 3 }, --Á¶Óü»¤Íó
{ group = 1, type = 0, id = 1200, propability = 60, count = 1, strong = -5, strongMin = 3 }, --Á¶ÓüÑü´ø
{ group = 1, type = 0, id = 1201, propability = 60, count = 1, strong = -5, strongMin = 3 }, --Á¶ÓüÕ½Ñ¥
{ group = 1, type = 0, id = 1202, propability = 60, count = 1, strong = -5, strongMin = 3 }, --Á¶Óü±¦Ê¯
{ group = 1, type = 0, id = 1203, propability = 60, count = 1, strong = -5, strongMin = 3 }, --Á¶Óü½äÖ¸
{ group = 1, type = 0, id = 1208, propability = 60, count = 1, strong = -5, strongMin = 3 }, --»Ô»ÍÍ·¿ø
{ group = 1, type = 0, id = 1209, propability = 60, count = 1, strong = -5, strongMin = 3 }, --»Ô»ÍÏîÁ´
{ group = 1, type = 0, id = 1210, propability = 60, count = 1, strong = -5, strongMin = 3 }, --»Ô»ÍÊÖïí
{ group = 1, type = 0, id = 1211, propability = 60, count = 1, strong = -5, strongMin = 3 }, --»Ô»ÍÑü´ø
{ group = 1, type = 0, id = 1212, propability = 60, count = 1, strong = -5, strongMin = 3 }, --»Ô»Í·¨ÂÄ
{ group = 1, type = 0, id = 1213, propability = 60, count = 1, strong = -5, strongMin = 3 }, --»Ô»Í±¦Ê¯
{ group = 1, type = 0, id = 1214, propability = 60, count = 1, strong = -5, strongMin = 3 }, --»Ô»Í½äÖ¸
{ group = 1, type = 0, id = 1219, propability = 60, count = 1, strong = -5, strongMin = 3 }, --±Ìº£Í·¿ø
{ group = 1, type = 0, id = 1220, propability = 60, count = 1, strong = -5, strongMin = 3 }, --±Ìº£ÏîÁ´
{ group = 1, type = 0, id = 1221, propability = 60, count = 1, strong = -5, strongMin = 3 }, --±Ìº£ÊÖïí
{ group = 1, type = 0, id = 1222, propability = 60, count = 1, strong = -5, strongMin = 3 }, --±Ìº£Ñü´ø
{ group = 1, type = 0, id = 1223, propability = 60, count = 1, strong = -5, strongMin = 3 }, --±Ìº£µÀĞ¬
{ group = 1, type = 0, id = 1224, propability = 60, count = 1, strong = -5, strongMin = 3 }, --±Ìº£±¦Ê¯
{ group = 1, type = 0, id = 1225, propability = 60, count = 1, strong = -5, strongMin = 3 }, --±Ìº£½äÖ¸
{ group = 1, type = 0, id = 696, propability = 100, count = 1, strong = -5, strongMin = 3 }, --ÊØ»¤Ñ«ÕÂ(5¼¶)
