{ group = 0, type = 0, id = 464, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --1阶魂珠
{ group = 0, type = 0, id = 463, propability = 1, count = 0, mincount = 10, maxcount = 20, bind = 1 }, --一阶灵羽
{ group = 0, type = 0, id = 782, propability = 1, count = 0, mincount = 5, maxcount = 10 }, --随机魂玉袋
{ group = 0, type = 0, id = 925, propability = 1, count = 0, mincount = 1, maxcount = 5, bind = 1 }, --血印碎晶(中)
{ group = 0, type = 0, id = 928, propability = 1, count = 0, mincount = 1, maxcount = 5, bind = 1 }, --玄盾碎晶(中)
{ group = 0, type = 0, id = 918, propability = 1, count = 0, mincount = 1, maxcount = 5, bind = 1 }, --星珠碎晶(小)
{ group = 0, type = 0, id = 921, propability = 1, count = 0, mincount = 1, maxcount = 5, bind = 1 }, --护镜碎晶(小)
{ group = 0, type = 0, id = 927, propability = 1, count = 0, mincount = 1, maxcount = 10, bind = 1 }, --玄盾碎晶(小)
{ group = 0, type = 0, id = 924, propability = 1, count = 0, mincount = 1, maxcount = 10, bind = 1 }, --血印碎晶(小)
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 1, type = 0, id = 5, propability = 20, count = 1 }, --龙鳞剑
{ group = 3, type = 0, id = 285, propability = 3, count = 1 }, --破天手镯
{ group = 3, type = 0, id = 300, propability = 3, count = 1 }, --翠羽手镯
{ group = 3, type = 0, id = 315, propability = 3, count = 1 }, --蓝凌手镯
{ group = 3, type = 0, id = 331, propability = 3, count = 1 }, --破天戒指
{ group = 3, type = 0, id = 346, propability = 3, count = 1 }, --翠羽戒指
{ group = 3, type = 0, id = 361, propability = 3, count = 1 }, --蓝凌戒指
{ group = 3, type = 0, id = 377, propability = 3, count = 1 }, --破天战靴
{ group = 3, type = 0, id = 392, propability = 3, count = 1 }, --翠羽法靴
{ group = 3, type = 0, id = 407, propability = 3, count = 1 }, --蓝凌道靴
{ group = 3, type = 0, id = 422, propability = 3, count = 1 }, --破天宝石
{ group = 3, type = 0, id = 437, propability = 3, count = 1 }, --翠羽宝石
{ group = 3, type = 0, id = 452, propability = 3, count = 1 }, --蓝凌宝石
{ group = 4, type = 0, id = 8, propability = 50, count = 1 }, --鎏金宝刀
{ group = 4, type = 0, id = 23, propability = 50, count = 1 }, --碧玺法杖
{ group = 4, type = 0, id = 38, propability = 50, count = 1 }, --岚空神剑
{ group = 4, type = 0, id = 57, propability = 50, count = 1 }, --鎏金战甲(男)
{ group = 4, type = 0, id = 72, propability = 50, count = 1 }, --鎏金战甲(女)
{ group = 4, type = 0, id = 87, propability = 50, count = 1 }, --碧玺法袍(男)
{ group = 4, type = 0, id = 102, propability = 50, count = 1 }, --碧玺法袍(女)
{ group = 4, type = 0, id = 117, propability = 50, count = 1 }, --岚空道铠(男)
{ group = 4, type = 0, id = 132, propability = 50, count = 1 }, --岚空道铠(女)
{ group = 4, type = 0, id = 148, propability = 50, count = 1 }, --鎏金腰带
{ group = 4, type = 0, id = 163, propability = 50, count = 1 }, --碧玺腰带
{ group = 4, type = 0, id = 178, propability = 50, count = 1 }, --岚空腰带
{ group = 4, type = 0, id = 194, propability = 50, count = 1 }, --鎏金头盔
{ group = 4, type = 0, id = 209, propability = 50, count = 1 }, --碧玺头盔
{ group = 4, type = 0, id = 224, propability = 50, count = 1 }, --岚空头盔
{ group = 4, type = 0, id = 240, propability = 50, count = 1 }, --鎏金项链
{ group = 4, type = 0, id = 255, propability = 50, count = 1 }, --碧玺项链
{ group = 4, type = 0, id = 270, propability = 50, count = 1 }, --岚空项链
{ group = 4, type = 0, id = 286, propability = 50, count = 1 }, --鎏金手镯
{ group = 4, type = 0, id = 301, propability = 50, count = 1 }, --碧玺手镯
{ group = 4, type = 0, id = 316, propability = 50, count = 1 }, --岚空手镯
{ group = 4, type = 0, id = 332, propability = 50, count = 1 }, --鎏金戒指
{ group = 4, type = 0, id = 347, propability = 50, count = 1 }, --碧玺戒指
{ group = 4, type = 0, id = 362, propability = 50, count = 1 }, --岚空戒指
{ group = 4, type = 0, id = 378, propability = 50, count = 1 }, --鎏金战靴
{ group = 4, type = 0, id = 393, propability = 50, count = 1 }, --碧玺法靴
{ group = 4, type = 0, id = 408, propability = 50, count = 1 }, --岚空道靴
{ group = 4, type = 0, id = 423, propability = 50, count = 1 }, --鎏金宝石
{ group = 4, type = 0, id = 438, propability = 50, count = 1 }, --碧玺宝石
{ group = 4, type = 0, id = 453, propability = 50, count = 1 }, --岚空宝石
{ group = 5, type = 0, id = 58, propability = 70, count = 1 }, --玄阳战甲(男)
{ group = 5, type = 0, id = 73, propability = 70, count = 1 }, --玄阳战甲(女)
{ group = 5, type = 0, id = 88, propability = 70, count = 1 }, --琉璃法袍(男)
{ group = 5, type = 0, id = 103, propability = 70, count = 1 }, --琉璃法袍(女)
{ group = 5, type = 0, id = 118, propability = 70, count = 1 }, --两仪道铠(男)
{ group = 5, type = 0, id = 133, propability = 70, count = 1 }, --两仪道铠(女)
{ group = 5, type = 0, id = 149, propability = 70, count = 1 }, --玄阳腰带
{ group = 5, type = 0, id = 164, propability = 70, count = 1 }, --琉璃腰带
{ group = 5, type = 0, id = 179, propability = 70, count = 1 }, --两仪腰带
{ group = 5, type = 0, id = 195, propability = 70, count = 1 }, --玄阳头盔
{ group = 5, type = 0, id = 210, propability = 70, count = 1 }, --琉璃头盔
{ group = 5, type = 0, id = 225, propability = 70, count = 1 }, --两仪头盔
{ group = 5, type = 0, id = 241, propability = 70, count = 1 }, --玄阳项链
{ group = 5, type = 0, id = 256, propability = 70, count = 1 }, --琉璃项链
{ group = 5, type = 0, id = 271, propability = 70, count = 1 }, --两仪项链
{ group = 5, type = 0, id = 287, propability = 70, count = 1 }, --玄阳手镯
{ group = 5, type = 0, id = 302, propability = 70, count = 1 }, --琉璃手镯
{ group = 5, type = 0, id = 317, propability = 70, count = 1 }, --两仪手镯
{ group = 5, type = 0, id = 333, propability = 70, count = 1 }, --玄阳戒指
{ group = 5, type = 0, id = 348, propability = 70, count = 1 }, --琉璃戒指
{ group = 5, type = 0, id = 363, propability = 70, count = 1 }, --两仪戒指
{ group = 5, type = 0, id = 379, propability = 70, count = 1 }, --玄阳战靴
{ group = 5, type = 0, id = 394, propability = 70, count = 1 }, --琉璃法靴
{ group = 5, type = 0, id = 409, propability = 70, count = 1 }, --两仪道靴
{ group = 5, type = 0, id = 424, propability = 70, count = 1 }, --玄阳宝石
{ group = 5, type = 0, id = 439, propability = 70, count = 1 }, --琉璃宝石
{ group = 5, type = 0, id = 454, propability = 70, count = 1 }, --两仪宝石
{ group = 5, type = 0, id = 9, propability = 500, count = 1 }, --戮仙霸斩
{ group = 5, type = 0, id = 24, propability = 500, count = 1 }, --琉璃法杖
{ group = 5, type = 0, id = 39, propability = 500, count = 1 }, --青翼道剑
{ group = 6, type = 0, id = 10, propability = 800, count = 1 }, --轰天灭世
{ group = 6, type = 0, id = 25, propability = 800, count = 1 }, --焚天绝地
{ group = 6, type = 0, id = 40, propability = 800, count = 1 }, --诛天斩仙
{ group = 6, type = 0, id = 59, propability = 100, count = 1 }, --轰天战甲(男)
{ group = 6, type = 0, id = 74, propability = 100, count = 1 }, --轰天战甲(女)
{ group = 6, type = 0, id = 89, propability = 100, count = 1 }, --焚天法袍(男)
{ group = 6, type = 0, id = 104, propability = 100, count = 1 }, --焚天法袍(女)
{ group = 6, type = 0, id = 119, propability = 100, count = 1 }, --诛天道铠(男)
{ group = 6, type = 0, id = 134, propability = 100, count = 1 }, --诛天道铠(女)
{ group = 6, type = 0, id = 150, propability = 100, count = 1 }, --轰天腰带
{ group = 6, type = 0, id = 165, propability = 100, count = 1 }, --焚天腰带
{ group = 6, type = 0, id = 180, propability = 100, count = 1 }, --诛天腰带
{ group = 6, type = 0, id = 196, propability = 100, count = 1 }, --轰天头盔
{ group = 6, type = 0, id = 211, propability = 100, count = 1 }, --焚天头盔
{ group = 6, type = 0, id = 226, propability = 100, count = 1 }, --诛天头盔
{ group = 6, type = 0, id = 242, propability = 100, count = 1 }, --轰天项链
{ group = 6, type = 0, id = 257, propability = 100, count = 1 }, --焚天项链
{ group = 6, type = 0, id = 272, propability = 100, count = 1 }, --诛天项链
{ group = 6, type = 0, id = 288, propability = 100, count = 1 }, --轰天手镯
{ group = 6, type = 0, id = 303, propability = 100, count = 1 }, --焚天手镯
{ group = 6, type = 0, id = 318, propability = 100, count = 1 }, --诛天手镯
{ group = 6, type = 0, id = 334, propability = 100, count = 1 }, --轰天戒指
{ group = 6, type = 0, id = 349, propability = 100, count = 1 }, --焚天戒指
{ group = 6, type = 0, id = 364, propability = 100, count = 1 }, --诛天戒指
{ group = 6, type = 0, id = 380, propability = 100, count = 1 }, --轰天战靴
{ group = 6, type = 0, id = 395, propability = 100, count = 1 }, --焚天法靴
{ group = 6, type = 0, id = 410, propability = 100, count = 1 }, --诛天道靴
{ group = 6, type = 0, id = 425, propability = 100, count = 1 }, --轰天宝石
{ group = 6, type = 0, id = 440, propability = 100, count = 1 }, --焚天宝石
{ group = 6, type = 0, id = 455, propability = 100, count = 1 }, --诛天宝石
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 3000, maxcount = 3000 }, --绑定金币
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 3000, maxcount = 3000 }, --绑定金币
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 3000, maxcount = 3000 }, --绑定金币
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 3000, maxcount = 3000 }, --绑定金币
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 3000, maxcount = 3000 }, --绑定金币
--
