{ group = 0, type = 0, id = 338, propability = 1, count = 1 }, --超级金创药
{ group = 1, type = 0, id = 86, propability = 58, count = 1 }, --海神头盔
{ group = 1, type = 0, id = 87, propability = 58, count = 1 }, --海神项链
{ group = 1, type = 0, id = 88, propability = 58, count = 1 }, --海神手镯
{ group = 1, type = 0, id = 89, propability = 58, count = 1 }, --海神腰带
{ group = 1, type = 0, id = 90, propability = 58, count = 1 }, --海神道鞋
{ group = 1, type = 0, id = 91, propability = 58, count = 1 }, --海神宝石
{ group = 1, type = 0, id = 92, propability = 58, count = 1 }, --海神戒指
{ group = 3, type = 0, id = 427, propability = 5, count = 1 }, --弦月剑法
{ group = 3, type = 0, id = 428, propability = 5, count = 1 }, --战神冲撞
{ group = 3, type = 0, id = 429, propability = 5, count = 1 }, --烈焰剑法
{ group = 3, type = 0, id = 436, propability = 5, count = 1 }, --穿透闪电
{ group = 3, type = 0, id = 437, propability = 5, count = 1 }, --神圣雷光
{ group = 3, type = 0, id = 438, propability = 5, count = 1 }, --魔法护盾
{ group = 3, type = 0, id = 439, propability = 5, count = 1 }, --冰风暴
{ group = 3, type = 0, id = 448, propability = 5, count = 1 }, --神圣护身术
{ group = 3, type = 0, id = 449, propability = 5, count = 1 }, --群体恢复术
{ group = 3, type = 0, id = 450, propability = 5, count = 1 }, --高级召唤术
{ group = 4, type = 0, id = 582, propability = 5, count = 1 }, --阎罗宝石
{ group = 4, type = 0, id = 583, propability = 5, count = 1 }, --阎罗腰带
{ group = 4, type = 0, id = 584, propability = 5, count = 1 }, --阎罗便鞋
{ group = 5, type = 0, id = 38, propability = 40, count = 1 }, --战章
{ group = 5, type = 0, id = 49, propability = 40, count = 1 }, --法章
{ group = 5, type = 0, id = 60, propability = 40, count = 1 }, --道章
{ group = 5, type = 0, id = 71, propability = 125, count = 1 }, --神鹰佩
{ group = 5, type = 0, id = 82, propability = 125, count = 1 }, --蝴蝶佩
{ group = 5, type = 0, id = 93, propability = 125, count = 1 }, --蝙蝠佩
