{ group = 0, type = 0, id = 280, propability = 300, count = 1 }, --一级灵珠
{ group = 4, type = 0, id = 123, propability = 216, count = 1 }, --蓝灵道鞋
{ group = 4, type = 0, id = 124, propability = 324, count = 1 }, --蓝灵宝石
{ group = 4, type = 0, id = 125, propability = 216, count = 1 }, --蓝灵戒指
{ group = 4, type = 0, id = 161, propability = 1665, count = 1 }, --圣灵战甲(男)
{ group = 4, type = 0, id = 162, propability = 1665, count = 1 }, --圣灵战甲(女)
{ group = 4, type = 0, id = 163, propability = 1250, count = 1 }, --圣灵头盔
{ group = 4, type = 0, id = 166, propability = 1125, count = 1 }, --圣灵腰带
{ group = 4, type = 0, id = 167, propability = 1000, count = 1 }, --圣灵战靴
{ group = 4, type = 0, id = 168, propability = 1665, count = 1 }, --圣灵宝石
{ group = 4, type = 0, id = 169, propability = 1000, count = 1 }, --圣灵戒指
{ group = 4, type = 0, id = 170, propability = 2200, count = 1 }, --震天
{ group = 4, type = 0, id = 172, propability = 1665, count = 1 }, --雪域魔袍(男)
{ group = 4, type = 0, id = 173, propability = 1665, count = 1 }, --雪域魔袍(女)
{ group = 4, type = 0, id = 174, propability = 1250, count = 1 }, --雪域头盔
{ group = 4, type = 0, id = 177, propability = 1125, count = 1 }, --雪域腰带
{ group = 4, type = 0, id = 178, propability = 1000, count = 1 }, --雪域魔鞋
{ group = 4, type = 0, id = 179, propability = 1665, count = 1 }, --雪域宝石
{ group = 4, type = 0, id = 180, propability = 1000, count = 1 }, --雪域戒指
{ group = 4, type = 0, id = 181, propability = 2200, count = 1 }, --伏魔
{ group = 4, type = 0, id = 183, propability = 1665, count = 1 }, --天罡道衣(男)
{ group = 4, type = 0, id = 184, propability = 1665, count = 1 }, --天罡道衣(女)
{ group = 4, type = 0, id = 185, propability = 1250, count = 1 }, --天罡头盔
{ group = 4, type = 0, id = 188, propability = 1125, count = 1 }, --天罡腰带
{ group = 4, type = 0, id = 189, propability = 1000, count = 1 }, --天罡道鞋
{ group = 4, type = 0, id = 190, propability = 1665, count = 1 }, --天罡宝石
{ group = 4, type = 0, id = 191, propability = 1000, count = 1 }, --天罡之戒
{ group = 4, type = 0, id = 192, propability = 2200, count = 1 }, --吞月
