{ group = 0, type = 0, id = 524, propability = 2, count = 0, mincount = 1, maxcount = 2 }, --招魂幡一
{ group = 0, type = 0, id = 277, propability = 5, count = 1 }, --鉴定图鉴
{ group = 3, type = 0, id = 112, propability = 318, count = 1 }, --红玉法履
{ group = 3, type = 0, id = 113, propability = 318, count = 1 }, --红玉宝石
{ group = 3, type = 0, id = 114, propability = 318, count = 1 }, --红玉戒指
{ group = 3, type = 0, id = 116, propability = 392, count = 1 }, --光芒神剑
{ group = 3, type = 0, id = 117, propability = 368, count = 1 }, --蓝灵道衣(男)
{ group = 3, type = 0, id = 118, propability = 368, count = 1 }, --蓝灵道衣(女)
{ group = 3, type = 0, id = 119, propability = 318, count = 1 }, --蓝灵头盔
{ group = 3, type = 0, id = 120, propability = 318, count = 1 }, --蓝灵项链
{ group = 3, type = 0, id = 121, propability = 318, count = 1 }, --蓝灵手镯
{ group = 3, type = 0, id = 122, propability = 318, count = 1 }, --蓝灵腰带
{ group = 3, type = 0, id = 123, propability = 318, count = 1 }, --蓝灵道鞋
{ group = 3, type = 0, id = 124, propability = 318, count = 1 }, --蓝灵宝石
{ group = 3, type = 0, id = 125, propability = 397, count = 1 }, --蓝灵戒指
{ group = 4, type = 0, id = 127, propability = 2048, count = 1 }, --武之影魅
{ group = 4, type = 0, id = 131, propability = 1811, count = 1 }, --火龙项链
{ group = 4, type = 0, id = 132, propability = 1701, count = 1 }, --火龙手镯
{ group = 4, type = 0, id = 136, propability = 1701, count = 1 }, --火龙戒指
{ group = 4, type = 0, id = 138, propability = 2048, count = 1 }, --易血狂龙
{ group = 4, type = 0, id = 142, propability = 1811, count = 1 }, --雷炎项链
{ group = 4, type = 0, id = 143, propability = 1701, count = 1 }, --雷炎手镯
{ group = 4, type = 0, id = 147, propability = 1701, count = 1 }, --雷炎戒指
{ group = 4, type = 0, id = 149, propability = 2048, count = 1 }, --凤舞狂沙
{ group = 4, type = 0, id = 153, propability = 1811, count = 1 }, --乾坤项链
{ group = 4, type = 0, id = 154, propability = 1701, count = 1 }, --乾坤手镯
{ group = 4, type = 0, id = 158, propability = 1701, count = 1 }, --乾坤戒指
{ group = 5, type = 0, id = 104, propability = 1260, count = 1 }, --龙
{ group = 5, type = 0, id = 115, propability = 1260, count = 1 }, --凤
{ group = 5, type = 0, id = 126, propability = 1260, count = 1 }, --卦
