{ group = 0, type = 0, id = 828, propability = 1200, count = 1 }, --Ó¢ĞÛ¾­Ñéµ¤(Ğ¡)
{ group = 1, type = 0, id = 192, propability = 650483, count = 1 }, --ÍÌÔÂ
{ group = 1, type = 0, id = 130, propability = 826, count = 1 }, --»ğÁúÍ·¿ø
{ group = 1, type = 0, id = 141, propability = 826, count = 1 }, --À×Ñ×Í·¿ø
{ group = 1, type = 0, id = 152, propability = 826, count = 1 }, --Ç¬À¤Í·¿ø
{ group = 1, type = 0, id = 163, propability = 2479, count = 1 }, --Ê¥ÁéÍ·¿ø
{ group = 1, type = 0, id = 174, propability = 2479, count = 1 }, --Ñ©ÓòÍ·¿ø
{ group = 1, type = 0, id = 185, propability = 2479, count = 1 }, --Ììî¸Í·¿ø
{ group = 1, type = 0, id = 196, propability = 7436, count = 1 }, --½ğÑôÍ·¿ø
{ group = 1, type = 0, id = 207, propability = 7436, count = 1 }, --ÉóÅĞÍ·¿ø
{ group = 1, type = 0, id = 218, propability = 7436, count = 1 }, --ĞşÚ¤Í·¿ø
{ group = 1, type = 0, id = 229, propability = 13770, count = 1 }, --Ç§¾ûÍ·¿ø
{ group = 1, type = 0, id = 240, propability = 13770, count = 1 }, --ÁÒÑæÍ·¿ø
{ group = 1, type = 0, id = 251, propability = 13770, count = 1 }, --Ú¤÷ÈÍ·¿ø
{ group = 1, type = 0, id = 132, propability = 972, count = 1 }, --»ğÁúÊÖïí
{ group = 1, type = 0, id = 143, propability = 972, count = 1 }, --À×Ñ×ÊÖïí
{ group = 1, type = 0, id = 154, propability = 972, count = 1 }, --Ç¬À¤ÊÖïí
{ group = 1, type = 0, id = 165, propability = 2916, count = 1 }, --Ê¥ÁéÊÖïí
{ group = 1, type = 0, id = 176, propability = 2916, count = 1 }, --Ñ©ÓòÊÖïí
{ group = 1, type = 0, id = 187, propability = 2916, count = 1 }, --Ììî¸ÊÖïí
{ group = 1, type = 0, id = 198, propability = 8748, count = 1 }, --½ğÑôÊÖïí
{ group = 1, type = 0, id = 209, propability = 8748, count = 1 }, --ÉóÅĞÊÖïí
{ group = 1, type = 0, id = 220, propability = 8748, count = 1 }, --ĞşÚ¤ÊÖïí
{ group = 1, type = 0, id = 231, propability = 16200, count = 1 }, --Ç§¾ûÊÖïí
{ group = 1, type = 0, id = 242, propability = 16200, count = 1 }, --ÁÒÑæÊÖïí
{ group = 1, type = 0, id = 253, propability = 16200, count = 1 }, --Ú¤÷ÈÊÖïí
{ group = 1, type = 0, id = 354, propability = 3200, count = 1 }, --ºìÃµ¹å
{ group = 2, type = 0, id = 197, propability = 569175, count = 1 }, --½ğÑôÏîÁ´
{ group = 2, type = 0, id = 202, propability = 569175, count = 1 }, --½ğÑô½äÖ¸
{ group = 2, type = 0, id = 208, propability = 569175, count = 1 }, --ÉóÅĞÏîÁ´
{ group = 2, type = 0, id = 213, propability = 569175, count = 1 }, --ÉóÅĞ½äÖ¸
{ group = 2, type = 0, id = 219, propability = 569175, count = 1 }, --ĞşÚ¤ÏîÁ´
{ group = 2, type = 0, id = 224, propability = 569175, count = 1 }, --ĞşÚ¤½äÖ¸
{ group = 2, type = 0, id = 203, propability = 1138346, count = 1 }, --ÊØ»¤
{ group = 2, type = 0, id = 214, propability = 1138346, count = 1 }, --±ÙĞ°
{ group = 2, type = 0, id = 225, propability = 1138346, count = 1 }, --¾ÛÁé
{ group = 2, type = 0, id = 127, propability = 23888, count = 1 }, --ÎäÖ®Ó°÷È
{ group = 2, type = 0, id = 131, propability = 15408, count = 1 }, --»ğÁúÏîÁ´
{ group = 2, type = 0, id = 132, propability = 14464, count = 1 }, --»ğÁúÊÖïí
{ group = 2, type = 0, id = 136, propability = 14464, count = 1 }, --»ğÁú½äÖ¸
{ group = 2, type = 0, id = 138, propability = 17408, count = 1 }, --Ò×Ñª¿ñÁú
{ group = 2, type = 0, id = 142, propability = 15408, count = 1 }, --À×Ñ×ÏîÁ´
{ group = 2, type = 0, id = 143, propability = 14464, count = 1 }, --À×Ñ×ÊÖïí
{ group = 2, type = 0, id = 147, propability = 14464, count = 1 }, --À×Ñ×½äÖ¸
{ group = 2, type = 0, id = 149, propability = 17408, count = 1 }, --·ïÎè¿ñÉ³
{ group = 2, type = 0, id = 153, propability = 15408, count = 1 }, --Ç¬À¤ÏîÁ´
{ group = 2, type = 0, id = 154, propability = 14464, count = 1 }, --Ç¬À¤ÊÖïí
{ group = 2, type = 0, id = 158, propability = 14464, count = 1 }, --Ç¬À¤½äÖ¸
{ group = 2, type = 0, id = 137, propability = 16064, count = 1 }, --ºùÂ«Ñ«ÕÂ
{ group = 2, type = 0, id = 148, propability = 16064, count = 1 }, --ÌúÑªÑ«ÕÂ
{ group = 2, type = 0, id = 159, propability = 16064, count = 1 }, --ÈÙÓşÑ«ÕÂ
{ group = 2, type = 0, id = 161, propability = 104080, count = 1 }, --Ê¥ÁéÕ½¼×(ÄĞ)
{ group = 2, type = 0, id = 162, propability = 104080, count = 1 }, --Ê¥ÁéÕ½¼×(Å®)
{ group = 2, type = 0, id = 166, propability = 52032, count = 1 }, --Ê¥ÁéÑü´ø
{ group = 2, type = 0, id = 167, propability = 52032, count = 1 }, --Ê¥ÁéÕ½Ñ¥
{ group = 2, type = 0, id = 168, propability = 52032, count = 1 }, --Ê¥Áé±¦Ê¯
{ group = 2, type = 0, id = 169, propability = 52032, count = 1 }, --Ê¥Áé½äÖ¸
{ group = 2, type = 0, id = 172, propability = 104080, count = 1 }, --Ñ©ÓòÄ§ÅÛ(ÄĞ)
{ group = 2, type = 0, id = 173, propability = 104080, count = 1 }, --Ñ©ÓòÄ§ÅÛ(Å®)
{ group = 2, type = 0, id = 177, propability = 52032, count = 1 }, --Ñ©ÓòÑü´ø
{ group = 2, type = 0, id = 178, propability = 52032, count = 1 }, --Ñ©ÓòÄ§Ğ¬
{ group = 2, type = 0, id = 179, propability = 52032, count = 1 }, --Ñ©Óò±¦Ê¯
{ group = 2, type = 0, id = 180, propability = 52032, count = 1 }, --Ñ©Óò½äÖ¸
{ group = 2, type = 0, id = 183, propability = 104080, count = 1 }, --Ììî¸µÀÒÂ(ÄĞ)
{ group = 2, type = 0, id = 184, propability = 104080, count = 1 }, --Ììî¸µÀÒÂ(Å®)
{ group = 2, type = 0, id = 188, propability = 52032, count = 1 }, --Ììî¸Ñü´ø
{ group = 2, type = 0, id = 189, propability = 52032, count = 1 }, --Ììî¸µÀĞ¬
{ group = 2, type = 0, id = 190, propability = 52032, count = 1 }, --Ììî¸±¦Ê¯
{ group = 2, type = 0, id = 191, propability = 52032, count = 1 }, --Ììî¸Ö®½ä
{ group = 2, type = 0, id = 170, propability = 104080, count = 1 }, --ÕğÌì
{ group = 2, type = 0, id = 181, propability = 104080, count = 1 }, --·üÄ§
{ group = 2, type = 0, id = 192, propability = 104080, count = 1 }, --ÍÌÔÂ
{ group = 3, type = 0, id = 193, propability = 182128, count = 1 }, --ÎäÉñ»½ÔÂ
{ group = 3, type = 0, id = 197, propability = 91072, count = 1 }, --½ğÑôÏîÁ´
{ group = 3, type = 0, id = 197, propability = 91072, count = 1 }, --½ğÑôÏîÁ´
{ group = 3, type = 0, id = 202, propability = 91072, count = 1 }, --½ğÑô½äÖ¸
{ group = 3, type = 0, id = 204, propability = 182128, count = 1 }, --·¨ÉñÈ¨ÕÈ
{ group = 3, type = 0, id = 208, propability = 91072, count = 1 }, --ÉóÅĞÏîÁ´
{ group = 3, type = 0, id = 208, propability = 91072, count = 1 }, --ÉóÅĞÏîÁ´
{ group = 3, type = 0, id = 213, propability = 91072, count = 1 }, --ÉóÅĞ½äÖ¸
{ group = 3, type = 0, id = 215, propability = 182128, count = 1 }, --Ò×ÉñÌìÉß
{ group = 3, type = 0, id = 219, propability = 91072, count = 1 }, --ĞşÚ¤ÏîÁ´
{ group = 3, type = 0, id = 219, propability = 91072, count = 1 }, --ĞşÚ¤ÏîÁ´
{ group = 3, type = 0, id = 224, propability = 91072, count = 1 }, --ĞşÚ¤½äÖ¸
{ group = 3, type = 0, id = 203, propability = 91064, count = 1 }, --ÊØ»¤
{ group = 3, type = 0, id = 214, propability = 91064, count = 1 }, --±ÙĞ°
{ group = 3, type = 0, id = 225, propability = 91064, count = 1 }, --¾ÛÁé
{ group = 3, type = 0, id = 235, propability = 401534, count = 1 }, --Ç§¾û½äÖ¸
{ group = 3, type = 0, id = 246, propability = 401534, count = 1 }, --ÁÒÑæ½äÖ¸
{ group = 3, type = 0, id = 257, propability = 401534, count = 1 }, --Ú¤÷È½äÖ¸
{ group = 4, type = 0, id = 612, propability = 1200, count = 1 }, --ÃüÔËÍ·¿ø
{ group = 4, type = 0, id = 613, propability = 1600, count = 1 }, --ÌìÉñÍ·¿ø
{ group = 4, type = 0, id = 614, propability = 1600, count = 1 }, --ºçÄ§Í·¿ø
{ group = 4, type = 0, id = 594, propability = 3500, count = 1 }, --ĞşÌú±¦Ê¯
{ group = 4, type = 0, id = 595, propability = 3500, count = 1 }, --ĞÇ¹â±¦Ê¯
{ group = 4, type = 0, id = 596, propability = 3500, count = 1 }, --Á½ÒÇ±¦Ê¯
{ group = 4, type = 0, id = 597, propability = 3500, count = 1 }, --ĞşÌúÊÖïí
{ group = 4, type = 0, id = 598, propability = 3500, count = 1 }, --ĞÇ¹âÊÖïí
{ group = 4, type = 0, id = 599, propability = 3500, count = 1 }, --Á½ÒÇÊÖïí
{ group = 4, type = 0, id = 600, propability = 3500, count = 1 }, --ĞşÌúÏîÁ´
{ group = 4, type = 0, id = 601, propability = 3500, count = 1 }, --ĞÇ¹âÏîÁ´
{ group = 4, type = 0, id = 602, propability = 3500, count = 1 }, --Á½ÒÇÏîÁ´
{ group = 4, type = 0, id = 615, propability = 4000, count = 1 }, --À×öªÍ·¿ø
{ group = 4, type = 0, id = 616, propability = 4000, count = 1 }, --ĞÇ²ÓÍ·¿ø
{ group = 4, type = 0, id = 617, propability = 4000, count = 1 }, --ĞşÁéÍ·¿ø
{ group = 4, type = 0, id = 603, propability = 13500, count = 1 }, --À×öªÑü´ø
{ group = 4, type = 0, id = 604, propability = 13500, count = 1 }, --ĞÇ²ÓÑü´ø
{ group = 4, type = 0, id = 605, propability = 13500, count = 1 }, --ĞşÁéÑü´ø
{ group = 4, type = 0, id = 606, propability = 13500, count = 1 }, --À×öªÕ½Ñ¥
{ group = 4, type = 0, id = 607, propability = 13500, count = 1 }, --ĞÇ²Ó·¨ÂÄ
{ group = 4, type = 0, id = 608, propability = 13500, count = 1 }, --ĞşÁéµÀĞ¬
{ group = 4, type = 0, id = 609, propability = 13500, count = 1 }, --À×öª½äÖ¸
{ group = 4, type = 0, id = 610, propability = 13500, count = 1 }, --ĞÇ²Ó½äÖ¸
{ group = 4, type = 0, id = 611, propability = 13500, count = 1 }, --ĞşÁé½äÖ¸
{ group = 4, type = 0, id = 235, propability = 64240, count = 1 }, --Ç§¾û½äÖ¸
{ group = 4, type = 0, id = 246, propability = 64240, count = 1 }, --ÁÒÑæ½äÖ¸
{ group = 4, type = 0, id = 257, propability = 64240, count = 1 }, --Ú¤÷È½äÖ¸
{ group = 5, type = 0, id = 612, propability = 192, count = 1 }, --ÃüÔËÍ·¿ø
{ group = 5, type = 0, id = 613, propability = 256, count = 1 }, --ÌìÉñÍ·¿ø
{ group = 5, type = 0, id = 614, propability = 256, count = 1 }, --ºçÄ§Í·¿ø
{ group = 5, type = 0, id = 594, propability = 560, count = 1 }, --ĞşÌú±¦Ê¯
{ group = 5, type = 0, id = 595, propability = 560, count = 1 }, --ĞÇ¹â±¦Ê¯
{ group = 5, type = 0, id = 596, propability = 560, count = 1 }, --Á½ÒÇ±¦Ê¯
{ group = 5, type = 0, id = 597, propability = 560, count = 1 }, --ĞşÌúÊÖïí
{ group = 5, type = 0, id = 598, propability = 560, count = 1 }, --ĞÇ¹âÊÖïí
{ group = 5, type = 0, id = 599, propability = 560, count = 1 }, --Á½ÒÇÊÖïí
{ group = 5, type = 0, id = 600, propability = 560, count = 1 }, --ĞşÌúÏîÁ´
{ group = 5, type = 0, id = 601, propability = 560, count = 1 }, --ĞÇ¹âÏîÁ´
{ group = 5, type = 0, id = 602, propability = 560, count = 1 }, --Á½ÒÇÏîÁ´
{ group = 5, type = 0, id = 615, propability = 640, count = 1 }, --À×öªÍ·¿ø
{ group = 5, type = 0, id = 616, propability = 640, count = 1 }, --ĞÇ²ÓÍ·¿ø
{ group = 5, type = 0, id = 617, propability = 640, count = 1 }, --ĞşÁéÍ·¿ø
{ group = 5, type = 0, id = 603, propability = 2160, count = 1 }, --À×öªÑü´ø
{ group = 5, type = 0, id = 604, propability = 2160, count = 1 }, --ĞÇ²ÓÑü´ø
{ group = 5, type = 0, id = 605, propability = 2160, count = 1 }, --ĞşÁéÑü´ø
{ group = 5, type = 0, id = 606, propability = 2160, count = 1 }, --À×öªÕ½Ñ¥
{ group = 5, type = 0, id = 607, propability = 2160, count = 1 }, --ĞÇ²Ó·¨ÂÄ
{ group = 5, type = 0, id = 608, propability = 2160, count = 1 }, --ĞşÁéµÀĞ¬
{ group = 5, type = 0, id = 609, propability = 2160, count = 1 }, --À×öª½äÖ¸
{ group = 5, type = 0, id = 610, propability = 2160, count = 1 }, --ĞÇ²Ó½äÖ¸
{ group = 5, type = 0, id = 611, propability = 2160, count = 1 }, --ĞşÁé½äÖ¸
