{ group = 0, type = 0, id = 506, propability = 0, count = 1, growLv = 21, bind = 1 }, --3½×Îï¹¥»êÓñ
{ group = 0, type = 0, id = 507, propability = 0, count = 1, growLv = 21, bind = 1 }, --3½×Ä§¹¥»êÓñ
{ group = 0, type = 0, id = 508, propability = 0, count = 1, growLv = 21, bind = 1 }, --3½×µÀ¹¥»êÓñ
{ group = 0, type = 0, id = 511, propability = 0, count = 1, growLv = 21, bind = 1 }, --3½×ÉúÃü»êÓñ
{ group = 0, type = 0, id = 509, propability = 0, count = 1, growLv = 21, bind = 1 }, --3½×Îï·À»êÓñ
{ group = 0, type = 0, id = 510, propability = 0, count = 1, growLv = 21, bind = 1 }, --3½×Ä§·À»êÓñ
{ group = 0, type = 0, id = 512, propability = 0, count = 1, growLv = 21, bind = 1 }, --3½×Ä§·¨»êÓñ
{ group = 0, type = 0, id = 499, propability = 0, count = 1, growLv = 21, bind = 1 }, --2½×Îï¹¥»êÓñ
{ group = 0, type = 0, id = 500, propability = 0, count = 1, growLv = 21, bind = 1 }, --2½×Ä§¹¥»êÓñ
{ group = 0, type = 0, id = 501, propability = 0, count = 1, growLv = 21, bind = 1 }, --2½×µÀ¹¥»êÓñ
{ group = 0, type = 0, id = 504, propability = 0, count = 1, growLv = 21, bind = 1 }, --2½×ÉúÃü»êÓñ
{ group = 0, type = 0, id = 502, propability = 0, count = 1, growLv = 21, bind = 1 }, --2½×Îï·À»êÓñ
{ group = 0, type = 0, id = 503, propability = 0, count = 1, growLv = 21, bind = 1 }, --2½×Ä§·À»êÓñ
{ group = 0, type = 0, id = 505, propability = 0, count = 1, growLv = 21, bind = 1 }, --2½×Ä§·¨»êÓñ
{ group = 0, type = 0, id = 918, propability = 2, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --ĞÇÖéËé¾§(Ğ¡)
{ group = 0, type = 0, id = 921, propability = 2, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --»¤¾µËé¾§(Ğ¡)
{ group = 0, type = 0, id = 492, propability = 0, count = 1, growLv = 21, bind = 1 }, --1½×Îï¹¥»êÓñ
{ group = 0, type = 0, id = 493, propability = 0, count = 1, growLv = 21, bind = 1 }, --1½×Ä§¹¥»êÓñ
{ group = 0, type = 0, id = 494, propability = 0, count = 1, growLv = 21, bind = 1 }, --1½×µÀ¹¥»êÓñ
{ group = 0, type = 0, id = 495, propability = 0, count = 1, growLv = 21, bind = 1 }, --1½×Îï·À»êÓñ
{ group = 0, type = 0, id = 496, propability = 0, count = 1, growLv = 21, bind = 1 }, --1½×Ä§·À»êÓñ
{ group = 0, type = 0, id = 497, propability = 0, count = 1, growLv = 21, bind = 1 }, --1½×ÉúÃü»êÓñ
{ group = 0, type = 0, id = 498, propability = 0, count = 1, growLv = 21, bind = 1 }, --1½×Ä§·¨»êÓñ
{ group = 0, type = 0, id = 688, propability = 1, count = 0, mincount = 3, maxcount = 5 }, --¹éÔªµ¤(Ğ¡)
{ group = 0, type = 0, id = 688, propability = 0, count = 1 }, --¹éÔªµ¤(Ğ¡)
{ group = 2, type = 0, id = 330, propability = 3, count = 1 }, --Ìì²Ô½äÖ¸
{ group = 2, type = 0, id = 345, propability = 3, count = 1 }, --×ÏŞ±½äÖ¸
{ group = 2, type = 0, id = 360, propability = 3, count = 1 }, --óÏÀÇ½äÖ¸
{ group = 2, type = 0, id = 376, propability = 3, count = 1 }, --Ìì²ÔÕ½Ñ¥
{ group = 2, type = 0, id = 391, propability = 3, count = 1 }, --×ÏŞ±·¨Ñ¥
{ group = 2, type = 0, id = 406, propability = 3, count = 1 }, --óÏÀÇµÀÑ¥
{ group = 2, type = 0, id = 421, propability = 3, count = 1 }, --Ìì²Ô±¦Ê¯
{ group = 2, type = 0, id = 436, propability = 3, count = 1 }, --×ÏŞ±±¦Ê¯
{ group = 2, type = 0, id = 451, propability = 3, count = 1 }, --óÏÀÇ±¦Ê¯
{ group = 3, type = 0, id = 6, propability = 20, count = 1 }, --»ğÁÃÌì²Ô
{ group = 3, type = 0, id = 21, propability = 20, count = 1 }, --×ÏŞ±Ó³ÔÂ
{ group = 3, type = 0, id = 36, propability = 20, count = 1 }, --óÏÀÇµÀ½£
{ group = 3, type = 0, id = 56, propability = 20, count = 1 }, --ÆÆÌìÕ½¼×(ÄĞ)
{ group = 3, type = 0, id = 71, propability = 20, count = 1 }, --ÆÆÌìÕ½¼×(Å®)
{ group = 3, type = 0, id = 86, propability = 20, count = 1 }, --´äÓğ·¨ÅÛ(ÄĞ)
{ group = 3, type = 0, id = 101, propability = 20, count = 1 }, --´äÓğ·¨ÅÛ(Å®)
{ group = 3, type = 0, id = 116, propability = 20, count = 1 }, --À¶ÁèµÀîø(ÄĞ)
{ group = 3, type = 0, id = 131, propability = 20, count = 1 }, --À¶ÁèµÀîø(Å®)
{ group = 3, type = 0, id = 147, propability = 20, count = 1 }, --ÆÆÌìÑü´ø
{ group = 3, type = 0, id = 162, propability = 20, count = 1 }, --´äÓğÑü´ø
{ group = 3, type = 0, id = 177, propability = 20, count = 1 }, --À¶ÁèÑü´ø
{ group = 3, type = 0, id = 193, propability = 20, count = 1 }, --ÆÆÌìÍ·¿ø
{ group = 3, type = 0, id = 208, propability = 20, count = 1 }, --´äÓğÍ·¿ø
{ group = 3, type = 0, id = 223, propability = 20, count = 1 }, --À¶ÁèÍ·¿ø
{ group = 3, type = 0, id = 239, propability = 20, count = 1 }, --ÆÆÌìÏîÁ´
{ group = 3, type = 0, id = 254, propability = 20, count = 1 }, --´äÓğÏîÁ´
{ group = 3, type = 0, id = 269, propability = 20, count = 1 }, --À¶ÁèÏîÁ´
{ group = 3, type = 0, id = 285, propability = 20, count = 1 }, --ÆÆÌìÊÖïí
{ group = 3, type = 0, id = 300, propability = 20, count = 1 }, --´äÓğÊÖïí
{ group = 3, type = 0, id = 315, propability = 20, count = 1 }, --À¶ÁèÊÖïí
{ group = 3, type = 0, id = 331, propability = 20, count = 1 }, --ÆÆÌì½äÖ¸
{ group = 3, type = 0, id = 346, propability = 20, count = 1 }, --´äÓğ½äÖ¸
{ group = 3, type = 0, id = 361, propability = 20, count = 1 }, --À¶Áè½äÖ¸
{ group = 3, type = 0, id = 377, propability = 20, count = 1 }, --ÆÆÌìÕ½Ñ¥
{ group = 3, type = 0, id = 392, propability = 20, count = 1 }, --´äÓğ·¨Ñ¥
{ group = 3, type = 0, id = 407, propability = 20, count = 1 }, --À¶ÁèµÀÑ¥
{ group = 3, type = 0, id = 422, propability = 20, count = 1 }, --ÆÆÌì±¦Ê¯
{ group = 3, type = 0, id = 437, propability = 20, count = 1 }, --´äÓğ±¦Ê¯
{ group = 3, type = 0, id = 452, propability = 20, count = 1 }, --À¶Áè±¦Ê¯
{ group = 4, type = 0, id = 7, propability = 50, count = 1 }, --Õ¶ÁúÍÀÄ§
{ group = 4, type = 0, id = 22, propability = 50, count = 1 }, --±ùÀ¶·¨ÕÈ
{ group = 4, type = 0, id = 37, propability = 50, count = 1 }, --×Ï¹âµÀ½£
{ group = 4, type = 0, id = 57, propability = 50, count = 1 }, --öÌ½ğÕ½¼×(ÄĞ)
{ group = 4, type = 0, id = 72, propability = 50, count = 1 }, --öÌ½ğÕ½¼×(Å®)
{ group = 4, type = 0, id = 87, propability = 50, count = 1 }, --±Ìçô·¨ÅÛ(ÄĞ)
{ group = 4, type = 0, id = 102, propability = 50, count = 1 }, --±Ìçô·¨ÅÛ(Å®)
{ group = 4, type = 0, id = 117, propability = 50, count = 1 }, --á°¿ÕµÀîø(ÄĞ)
{ group = 4, type = 0, id = 132, propability = 50, count = 1 }, --á°¿ÕµÀîø(Å®)
{ group = 4, type = 0, id = 148, propability = 50, count = 1 }, --öÌ½ğÑü´ø
{ group = 4, type = 0, id = 163, propability = 50, count = 1 }, --±ÌçôÑü´ø
{ group = 4, type = 0, id = 178, propability = 50, count = 1 }, --á°¿ÕÑü´ø
{ group = 4, type = 0, id = 194, propability = 50, count = 1 }, --öÌ½ğÍ·¿ø
{ group = 4, type = 0, id = 209, propability = 50, count = 1 }, --±ÌçôÍ·¿ø
{ group = 4, type = 0, id = 224, propability = 50, count = 1 }, --á°¿ÕÍ·¿ø
{ group = 4, type = 0, id = 240, propability = 50, count = 1 }, --öÌ½ğÏîÁ´
{ group = 4, type = 0, id = 255, propability = 50, count = 1 }, --±ÌçôÏîÁ´
{ group = 4, type = 0, id = 270, propability = 50, count = 1 }, --á°¿ÕÏîÁ´
{ group = 4, type = 0, id = 286, propability = 50, count = 1 }, --öÌ½ğÊÖïí
{ group = 4, type = 0, id = 301, propability = 50, count = 1 }, --±ÌçôÊÖïí
{ group = 4, type = 0, id = 316, propability = 50, count = 1 }, --á°¿ÕÊÖïí
{ group = 4, type = 0, id = 332, propability = 50, count = 1 }, --öÌ½ğ½äÖ¸
{ group = 4, type = 0, id = 347, propability = 50, count = 1 }, --±Ìçô½äÖ¸
{ group = 4, type = 0, id = 362, propability = 50, count = 1 }, --á°¿Õ½äÖ¸
{ group = 4, type = 0, id = 378, propability = 50, count = 1 }, --öÌ½ğÕ½Ñ¥
{ group = 4, type = 0, id = 393, propability = 50, count = 1 }, --±Ìçô·¨Ñ¥
{ group = 4, type = 0, id = 408, propability = 50, count = 1 }, --á°¿ÕµÀÑ¥
{ group = 4, type = 0, id = 423, propability = 50, count = 1 }, --öÌ½ğ±¦Ê¯
{ group = 4, type = 0, id = 438, propability = 50, count = 1 }, --±Ìçô±¦Ê¯
{ group = 4, type = 0, id = 453, propability = 50, count = 1 }, --á°¿Õ±¦Ê¯
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 4000, maxcount = 4000 }, --°ó¶¨½ğ±Ò
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 4000, maxcount = 4000 }, --°ó¶¨½ğ±Ò
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 4000, maxcount = 4000 }, --°ó¶¨½ğ±Ò
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 4000, maxcount = 4000 }, --°ó¶¨½ğ±Ò
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 4000, maxcount = 4000 }, --°ó¶¨½ğ±Ò
{ group = 6, type = 0, id = 728, propability = 55, count = 1, bind = 1 }, --Ò»ÒÚ¾­ÑéÁéµ¤
{ group = 6, type = 0, id = 727, propability = 540, count = 1, bind = 1 }, --Ç§Íò¾­ÑéÁéµ¤
{ group = 6, type = 0, id = 726, propability = 2430, count = 1, bind = 1 }, --°ÙÍò¾­ÑéÁéµ¤
