{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 3000, maxcount = 5000, bind = 1 }, --°ó¶¨½ğ±Ò
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 3000, maxcount = 5000, bind = 1 }, --°ó¶¨½ğ±Ò
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 3000, maxcount = 5000, bind = 1 }, --°ó¶¨½ğ±Ò
{ group = 1, type = 0, id = 5, propability = 40, count = 1, bind = 1 }, --ÁúÁÛ½£
{ group = 2, type = 0, id = 237, propability = 20, count = 1, bind = 1 }, --ÁúÁÛÏîÁ´
{ group = 2, type = 0, id = 252, propability = 20, count = 1, bind = 1 }, --ºìÓñÏîÁ´
{ group = 2, type = 0, id = 267, propability = 20, count = 1, bind = 1 }, --ĞşìÇÏîÁ´
{ group = 3, type = 0, id = 283, propability = 20, count = 1, bind = 1 }, --ÁúÁÛÊÖïí
{ group = 3, type = 0, id = 298, propability = 20, count = 1, bind = 1 }, --ºìÓñÊÖïí
{ group = 3, type = 0, id = 313, propability = 20, count = 1, bind = 1 }, --ĞşìÇÊÖïí
{ group = 3, type = 0, id = 329, propability = 20, count = 1, bind = 1 }, --ÁúÁÛ½äÖ¸
{ group = 3, type = 0, id = 344, propability = 20, count = 1, bind = 1 }, --ºìÓñ½äÖ¸
{ group = 3, type = 0, id = 359, propability = 20, count = 1, bind = 1 }, --ĞşìÇ½äÖ¸
{ group = 3, type = 0, id = 375, propability = 20, count = 1, bind = 1 }, --ÁúÁÛÕ½Ñ¥
{ group = 3, type = 0, id = 390, propability = 20, count = 1, bind = 1 }, --ºìÓñ·¨Ñ¥
{ group = 3, type = 0, id = 405, propability = 20, count = 1, bind = 1 }, --ĞşìÇµÀÑ¥
{ group = 3, type = 0, id = 420, propability = 20, count = 1, bind = 1 }, --ÁúÁÛ±¦Ê¯
{ group = 3, type = 0, id = 435, propability = 20, count = 1, bind = 1 }, --ºìÓñ±¦Ê¯
{ group = 3, type = 0, id = 450, propability = 20, count = 1, bind = 1 }, --ĞşìÇ±¦Ê¯
{ group = 4, type = 0, id = 55, propability = 700, count = 1, bind = 1 }, --Ìì²ÔÕ½¼×(ÄĞ)
{ group = 4, type = 0, id = 85, propability = 700, count = 1, bind = 1 }, --×ÏŞ±·¨ÅÛ(ÄĞ)
{ group = 4, type = 0, id = 115, propability = 700, count = 1, bind = 1 }, --óÏÀÇµÀîø(ÄĞ)
{ group = 4, type = 0, id = 70, propability = 700, count = 1, bind = 1 }, --Ìì²ÔÕ½¼×(Å®)
{ group = 4, type = 0, id = 100, propability = 700, count = 1, bind = 1 }, --×ÏŞ±·¨ÅÛ(Å®)
{ group = 4, type = 0, id = 130, propability = 700, count = 1, bind = 1 }, --óÏÀÇµÀîø(Å®)
{ group = 4, type = 0, id = 146, propability = 700, count = 1, bind = 1 }, --Ìì²ÔÑü´ø
{ group = 4, type = 0, id = 161, propability = 700, count = 1, bind = 1 }, --×ÏŞ±Ñü´ø
{ group = 4, type = 0, id = 176, propability = 700, count = 1, bind = 1 }, --óÏÀÇÑü´ø
{ group = 4, type = 0, id = 192, propability = 700, count = 1, bind = 1 }, --Ìì²ÔÍ·¿ø
{ group = 4, type = 0, id = 207, propability = 700, count = 1, bind = 1 }, --×ÏŞ±Í·¿ø
{ group = 4, type = 0, id = 222, propability = 700, count = 1, bind = 1 }, --óÏÀÇÍ·¿ø
{ group = 4, type = 0, id = 238, propability = 700, count = 1, bind = 1 }, --Ìì²ÔÏîÁ´
{ group = 4, type = 0, id = 253, propability = 700, count = 1, bind = 1 }, --×ÏŞ±ÏîÁ´
{ group = 4, type = 0, id = 268, propability = 700, count = 1, bind = 1 }, --óÏÀÇÏîÁ´
{ group = 4, type = 0, id = 284, propability = 700, count = 1, bind = 1 }, --Ìì²ÔÊÖïí
{ group = 4, type = 0, id = 299, propability = 700, count = 1, bind = 1 }, --×ÏŞ±ÊÖïí
{ group = 4, type = 0, id = 314, propability = 700, count = 1, bind = 1 }, --óÏÀÇÊÖïí
{ group = 4, type = 0, id = 330, propability = 700, count = 1, bind = 1 }, --Ìì²Ô½äÖ¸
{ group = 4, type = 0, id = 345, propability = 700, count = 1, bind = 1 }, --×ÏŞ±½äÖ¸
{ group = 4, type = 0, id = 360, propability = 700, count = 1, bind = 1 }, --óÏÀÇ½äÖ¸
{ group = 4, type = 0, id = 376, propability = 700, count = 1, bind = 1 }, --Ìì²ÔÕ½Ñ¥
{ group = 4, type = 0, id = 391, propability = 700, count = 1, bind = 1 }, --×ÏŞ±·¨Ñ¥
{ group = 4, type = 0, id = 406, propability = 700, count = 1, bind = 1 }, --óÏÀÇµÀÑ¥
{ group = 4, type = 0, id = 421, propability = 700, count = 1, bind = 1 }, --Ìì²Ô±¦Ê¯
{ group = 4, type = 0, id = 436, propability = 700, count = 1, bind = 1 }, --×ÏŞ±±¦Ê¯
{ group = 4, type = 0, id = 451, propability = 700, count = 1, bind = 1 }, --óÏÀÇ±¦Ê¯
{ group = 5, type = 0, id = 918, propability = 1, count = 0, mincount = 1, maxcount = 5, bind = 1 }, --ĞÇÖéËé¾§(Ğ¡)
