{ group = 1, type = 0, id = 283, propability = 1, count = 1 }, --ËÄ¼¶ÁéÖé
{ group = 1, type = 0, id = 1402, propability = 3, count = 1 }, --Îå¼¶ÁéÖé
{ group = 1, type = 0, id = 982, propability = 16, count = 1 }, --»Æ½ğÂé±Ô½äÖ¸
{ group = 1, type = 0, id = 983, propability = 16, count = 1 }, --ºìÓñ»¤Ìå½äÖ¸
{ group = 1, type = 0, id = 984, propability = 16, count = 1 }, --À¶Áé¸´»î½äÖ¸
{ group = 1, type = 0, id = 193, propability = 100, count = 1, strong = -5, strongMin = 3 }, --ÎäÉñ»½ÔÂ
{ group = 1, type = 0, id = 244, propability = 20, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæ·¨ÂÄ
{ group = 1, type = 0, id = 245, propability = 20, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæ±¦Ê¯
{ group = 1, type = 0, id = 248, propability = 33, count = 1, strong = -5, strongMin = 3 }, --Õ¿À¶
{ group = 1, type = 0, id = 249, propability = 26, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷ÈµÀÒÂ(ÄĞ)
{ group = 1, type = 0, id = 250, propability = 26, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷ÈµÀÒÂ(Å®)
{ group = 1, type = 0, id = 251, propability = 20, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷ÈÍ·¿ø
{ group = 1, type = 0, id = 252, propability = 20, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷ÈÏîÁ´
{ group = 1, type = 0, id = 253, propability = 20, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷ÈÊÖïí
{ group = 1, type = 0, id = 254, propability = 20, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷ÈÑü´ø
{ group = 1, type = 0, id = 255, propability = 20, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷ÈµÀĞ¬
{ group = 1, type = 0, id = 256, propability = 20, count = 1, strong = -5, strongMin = 3 }, --Ú¤÷È±¦Ê¯
{ group = 1, type = 0, id = 1194, propability = 100, count = 1, strong = -5, strongMin = 3 }, --Õ¶»ê
{ group = 1, type = 0, id = 1195, propability = 83, count = 1, strong = -5, strongMin = 3 }, --Á¶ÓüÕ½¼×(ÄĞ)
{ group = 1, type = 0, id = 1196, propability = 83, count = 1, strong = -5, strongMin = 3 }, --Á¶ÓüÕ½¼×(Å®)
{ group = 1, type = 0, id = 1197, propability = 66, count = 1, strong = -5, strongMin = 3 }, --Á¶ÓüÍ·¿ø
{ group = 1, type = 0, id = 1198, propability = 66, count = 1, strong = -5, strongMin = 3 }, --Á¶ÓüÏîÁ´
{ group = 1, type = 0, id = 1199, propability = 66, count = 1, strong = -5, strongMin = 3 }, --Á¶Óü»¤Íó
{ group = 1, type = 0, id = 1200, propability = 66, count = 1, strong = -5, strongMin = 3 }, --Á¶ÓüÑü´ø
{ group = 1, type = 0, id = 1201, propability = 66, count = 1, strong = -5, strongMin = 3 }, --Á¶ÓüÕ½Ñ¥
{ group = 1, type = 0, id = 1202, propability = 66, count = 1, strong = -5, strongMin = 3 }, --Á¶Óü±¦Ê¯
{ group = 1, type = 0, id = 1203, propability = 66, count = 1, strong = -5, strongMin = 3 }, --Á¶Óü½äÖ¸
{ group = 1, type = 0, id = 1205, propability = 100, count = 1, strong = -5, strongMin = 3 }, --ÂÖ»Ø
{ group = 1, type = 0, id = 1206, propability = 83, count = 1, strong = -5, strongMin = 3 }, --»Ô»ÍÄ§ÅÛ(ÄĞ)
{ group = 1, type = 0, id = 1207, propability = 83, count = 1, strong = -5, strongMin = 3 }, --»Ô»ÍÄ§ÅÛ(Å®)
{ group = 1, type = 0, id = 1208, propability = 66, count = 1, strong = -5, strongMin = 3 }, --»Ô»ÍÍ·¿ø
{ group = 1, type = 0, id = 1209, propability = 66, count = 1, strong = -5, strongMin = 3 }, --»Ô»ÍÏîÁ´
{ group = 1, type = 0, id = 1210, propability = 66, count = 1, strong = -5, strongMin = 3 }, --»Ô»ÍÊÖïí
{ group = 1, type = 0, id = 1211, propability = 66, count = 1, strong = -5, strongMin = 3 }, --»Ô»ÍÑü´ø
{ group = 1, type = 0, id = 1212, propability = 66, count = 1, strong = -5, strongMin = 3 }, --»Ô»Í·¨ÂÄ
{ group = 1, type = 0, id = 1213, propability = 66, count = 1, strong = -5, strongMin = 3 }, --»Ô»Í±¦Ê¯
{ group = 1, type = 0, id = 1214, propability = 66, count = 1, strong = -5, strongMin = 3 }, --»Ô»Í½äÖ¸
{ group = 1, type = 0, id = 1216, propability = 100, count = 1, strong = -5, strongMin = 3 }, --µÛÁú
{ group = 1, type = 0, id = 1217, propability = 83, count = 1, strong = -5, strongMin = 3 }, --±Ìº£µÀÒÂ(ÄĞ)
{ group = 1, type = 0, id = 1218, propability = 83, count = 1, strong = -5, strongMin = 3 }, --±Ìº£µÀÒÂ(Å®)
{ group = 1, type = 0, id = 1219, propability = 66, count = 1, strong = -5, strongMin = 3 }, --±Ìº£Í·¿ø
{ group = 1, type = 0, id = 1220, propability = 66, count = 1, strong = -5, strongMin = 3 }, --±Ìº£ÏîÁ´
{ group = 1, type = 0, id = 1221, propability = 66, count = 1, strong = -5, strongMin = 3 }, --±Ìº£ÊÖïí
{ group = 1, type = 0, id = 1222, propability = 66, count = 1, strong = -5, strongMin = 3 }, --±Ìº£Ñü´ø
{ group = 1, type = 0, id = 1223, propability = 66, count = 1, strong = -5, strongMin = 3 }, --±Ìº£µÀĞ¬
{ group = 1, type = 0, id = 1224, propability = 66, count = 1, strong = -5, strongMin = 3 }, --±Ìº£±¦Ê¯
{ group = 1, type = 0, id = 1225, propability = 66, count = 1, strong = -5, strongMin = 3 }, --±Ìº£½äÖ¸
{ group = 1, type = 0, id = 696, propability = 166, count = 1, strong = -5, strongMin = 3 }, --ÊØ»¤Ñ«ÕÂ(5¼¶)
